OID_,LABEL,CLASS_1,CLASS_2,CLASS_3,CLASS_4,CLASS_5,CLASS_6,CLASS_7,CLASS_8,CLASS_9,CLASS_10,CLASS_11,CLASS_12,CLASS_13,CLASS_14,CLASS_15,CLASS_16,CLASS_17,CLASS_18,CLASS_19,CLASS_20,CLASS_21,CLASS_22,CLASS_23,CLASS_24,CLASS_25,CLASS_26,CLASS_27,CLASS_28
1,OBJEC_1,187,1090,1520,14051,16139,14557,12264,9555,7551,6060,4695,3862,15189,3041,875,304,137,71,28,21,15,10,0,0,0,0,0,0
2,OBJEC_2,370,2763,3785,29728,27058,18976,11789,6534,3860,2253,1422,895,1378,72,6,0,0,0,0,0,0,0,0,0,0,0,0,0
3,OBJEC_3,704,4807,5866,39463,28303,15580,7933,3888,1938,1030,584,332,461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,OBJEC_4,687,4623,5746,37874,27082,15110,7983,4087,2433,1468,1000,697,2063,278,74,14,3,0,0,0,0,0,0,0,0,0,0,0
5,OBJEC_5,881,4968,5156,29438,19907,14880,10901,7427,5309,3697,2515,1607,3731,459,161,68,23,22,13,16,14,29,0,0,0,0,0,0
6,OBJEC_6,2294,12145,11930,53909,21309,6728,1930,561,202,101,53,32,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,OBJEC_7,431,2973,4118,33153,29118,19110,11091,5380,2753,1460,762,416,452,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,OBJEC_8,426,3380,4520,34210,29038,18406,10307,5203,2565,1339,713,407,635,53,14,3,3,0,0,0,0,0,0,0,0,0,0,0
9,OBJEC_9,1575,6796,5298,20508,13335,11395,10933,8363,6512,5018,3851,2950,10790,2203,871,439,159,93,46,34,14,33,6,0,0,0,0,0
10,OBJEC_10,343,2581,3131,20619,17780,15408,12811,9474,7188,5504,3963,2882,8200,957,226,87,20,7,12,9,5,15,0,0,0,0,0,0
11,OBJEC_11,1008,6390,7320,43587,26559,13348,6465,2782,1616,857,553,329,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,OBJEC_13,634,4312,5053,34697,27689,17763,10186,5023,2656,1425,788,438,548,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,OBJEC_14,1142,6793,7273,43132,27804,14289,6228,2316,954,435,215,128,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,OBJEC_15,500,3278,3957,28660,24958,16983,10742,6832,4539,2978,2057,1501,3506,286,62,29,11,4,4,2,0,0,0,0,0,0,0,0
15,OBJEC_16,517,3229,3863,27501,22320,15000,9929,6741,5018,3823,2795,2128,6620,1058,254,58,29,4,2,0,0,0,0,0,0,0,0,0
16,OBJEC_17,356,2424,3098,25057,23841,17386,11809,7477,5603,3858,2721,1943,5108,477,59,5,0,0,0,0,0,0,0,0,0,0,0,0
17,OBJEC_18,134,1341,2042,18966,20772,17613,13817,9765,7080,4994,3693,2725,7310,509,101,25,2,0,0,0,0,0,0,0,0,0,0,0
18,OBJEC_19,664,4316,5551,38460,28443,16286,8469,4175,2258,1188,647,382,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,OBJEC_20,324,1901,2455,19298,19534,15193,11606,8561,6706,5186,4028,3365,10512,1332,434,180,113,73,44,20,16,8,0,0,0,0,0,0
20,OBJEC_21,624,3899,4533,32982,27275,17680,10755,5681,3243,1836,1027,591,761,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,OBJEC_22,84,544,771,7796,10281,10403,10830,9433,8635,7327,6355,5334,25871,5046,1538,566,210,151,109,80,53,101,35,3,0,0,0,0
22,OBJEC_23,967,6275,7431,45761,28580,13116,5514,2069,835,373,177,57,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,OBJEC_24,26,298,555,7366,11534,12898,12361,11314,9971,8358,6804,5486,18778,3144,924,395,237,162,120,89,83,235,47,36,1,0,0,0
24,OBJEC_25,86,577,894,8649,11897,12761,12170,10421,9158,7599,6285,5400,21661,2868,489,112,52,32,24,17,11,47,12,0,0,0,0,0
25,OBJEC_26,970,6201,6848,39440,23994,12699,6814,3706,2475,1764,1282,1028,3014,422,129,49,37,6,3,1,5,2,0,0,0,0,0,0
26,OBJEC_27,700,4768,5793,39032,30323,16436,7942,3061,1470,577,326,203,257,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,OBJEC_28,570,4051,4953,34081,25899,16667,9506,5276,3296,2205,1435,1011,2358,205,40,3,0,0,0,0,0,0,0,0,0,0,0,0
28,OBJEC_29,335,2454,3449,28783,27131,19263,12067,6917,4131,2446,1478,824,1559,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,OBJEC_30,155,1294,1911,17810,21137,19255,15542,10341,7393,5292,3496,2354,4875,293,57,14,3,0,0,0,0,0,0,0,0,0,0,0
30,OBJEC_31,101,862,1389,15208,19600,18202,14823,10981,8261,6011,4137,3059,7800,815,205,53,24,9,6,9,1,0,0,0,0,0,0,0
