OID_,vh_raw,vv_raw,roughness_p5,roughness_p25,roughness_p75,roughness_p95,zonal_0219_5m_p95_max,zonal_0219_5m_p95_min,zonal_0219_5m_p95_mean,zonal_0219_5m_p5_max,zonal_0219_5m_p5_min,zonal_0219_5m_p5_mean,zonal_0219_5m_max_min,zonal_0219_5m_max_mean,zonal_0219_5m_med_max,zonal_0219_5m_med_min,zonal_0219_5m_med_mean,zonal_0219_5m_min_max,zonal_0219_5m_min_mean,zonal_0219_5m_range_max,zonal_0219_5m_range_min,zonal_0219_5m_range_mean,zonal_0219_2m_max_min,zonal_0219_2m_max_mean,zonal_0219_2m_med_max,zonal_0219_2m_med_min,zonal_0219_2m_med_mean,zonal_0219_2m_min_max,zonal_0219_2m_min_mean,zonal_0219_2m_range_max,zonal_0219_2m_range_min,zonal_0219_2m_range_mean,zonal_0219_2m_p5_max,zonal_0219_2m_p5_min,zonal_0219_2m_p5_mean,zonal_0219_2m_p95_max,zonal_0219_2m_p95_min,zonal_0219_2m_p95_mean,zonal_0219_1m_max_min,zonal_0219_1m_max_mean,zonal_0219_1m_med_max,zonal_0219_1m_med_min,zonal_0219_1m_med_mean,zonal_0219_1m_min_max,zonal_0219_1m_min_mean,zonal_0219_1m_range_max,zonal_0219_1m_range_min,zonal_0219_1m_range_mean,zonal_0219_1m_p5_max,zonal_0219_1m_p5_min,zonal_0219_1m_p5_mean,zonal_0219_1m_p95_max,zonal_0219_1m_p95_min,zonal_0219_1m_p95_mean,zonal_0219_50cm_max_min,zonal_0219_50cm_max_mean,zonal_0219_50cm_med_max,zonal_0219_50cm_med_min,zonal_0219_50cm_med_mean,zonal_0219_50cm_min_max,zonal_0219_50cm_min_mean,zonal_0219_50cm_range_max,zonal_0219_50cm_range_min,zonal_0219_50cm_range_mean,zonal_0219_50cm_p5_max,zonal_0219_50cm_p5_min,zonal_0219_50cm_p5_mean,zonal_0219_50cm_p95_max,zonal_0219_50cm_p95_min,zonal_0219_50cm_p95_mean,zonal_0219_25cm_max_min,zonal_0219_25cm_max_mean,zonal_0219_25cm_med_max,zonal_0219_25cm_med_min,zonal_0219_25cm_med_mean,zonal_0219_25cm_min_max,zonal_0219_25cm_min_mean,zonal_0219_25cm_range_max,zonal_0219_25cm_range_min,zonal_0219_25cm_range_mean,zonal_0219_25cm_p95_max,zonal_0219_25cm_p95_min,zonal_0219_25cm_p95_mean,zonal_0219_25cm_p5_max,zonal_0219_25cm_p5_min,zonal_0219_25cm_p5_mean
1,0.0053706,0.0247410,0.0014295,0.0027608,0.0064687,0.0117276,0.0143785,0.0100796,0.0117780,0.0015470,0.0013628,0.0014404,0.0351371,0.0488613,0.0046172,0.0039927,0.0043012,0.0003741,0.0003189,0.0653397,0.0348495,0.0485424,0.0159494,0.0332614,0.0066236,0.0034438,0.0043599,0.0005783,0.0004344,0.0652404,0.0154413,0.0328271,0.0022624,0.0011933,0.0014792,0.0208369,0.0084364,0.0115757,0.0090201,0.0228726,0.0093276,0.0026858,0.0044484,0.0010262,0.0005926,0.0649864,0.0086541,0.0222799,0.0028837,0.0010358,0.0015354,0.0290909,0.0064166,0.0114416,0.0053331,0.0157984,0.0111876,0.0020934,0.0046043,0.0019701,0.0008570,0.0649864,0.0047686,0.0149415,0.0048940,0.0006398,0.0016906,0.0440669,0.0041617,0.0107448,0.0033534,0.0116657,0.0179392,0.0013830,0.0047656,0.0054745,0.0013017,0.0649864,0.0026031,0.0103640,0.0541990,0.0026370,0.0097692,0.0070189,0.0004623,0.0019386
2,0.0041798,0.0384940,0.0011541,0.0024249,0.0065984,0.0125832,0.0142142,0.0082374,0.0121292,0.0016071,0.0008005,0.0013156,0.0398632,0.0601307,0.0050079,0.0025123,0.0041645,0.0002789,0.0002069,0.0759316,0.0397765,0.0599238,0.0120058,0.0349696,0.0061498,0.0017055,0.0042593,0.0006077,0.0003791,0.0755721,0.0119191,0.0345905,0.0020560,0.0005980,0.0013938,0.0169379,0.0042952,0.0118467,0.0047178,0.0224018,0.0087579,0.0013414,0.0043941,0.0012715,0.0005388,0.0754366,0.0046311,0.0218630,0.0028310,0.0005220,0.0014762,0.0304780,0.0029779,0.0115774,0.0026899,0.0157835,0.0114391,0.0009210,0.0045449,0.0022562,0.0008047,0.0746373,0.0023884,0.0149788,0.0045801,0.0003995,0.0016256,0.0406396,0.0022023,0.0107865,0.0018486,0.0117801,0.0226085,0.0005819,0.0047348,0.0071315,0.0012705,0.0725971,0.0016337,0.0105096,0.0562784,0.0012945,0.0097245,0.0088689,0.0003180,0.0019124
3,0.0079459,0.0870447,0.0018948,0.0042665,0.0116295,0.0274794,0.0312965,0.0210543,0.0270837,0.0025163,0.0013348,0.0020523,0.1279632,0.1820513,0.0085562,0.0053586,0.0071741,0.0003319,0.0002189,0.2543273,0.1276827,0.1818324,0.0219999,0.0948275,0.0111351,0.0047630,0.0073776,0.0008407,0.0004658,0.2542534,0.0215009,0.0943617,0.0029660,0.0011055,0.0020433,0.0551150,0.0120162,0.0273524,0.0131901,0.0614369,0.0156874,0.0028953,0.0075789,0.0013264,0.0007379,0.2540173,0.0127518,0.0606990,0.0040152,0.0005869,0.0022679,0.0738434,0.0096682,0.0265917,0.0024096,0.0398106,0.0257325,0.0010343,0.0080132,0.0044078,0.0012011,0.2506675,0.0013807,0.0386095,0.0079567,0.0003064,0.0025872,0.1859697,0.0020274,0.0250378,0.0012288,0.0265263,0.0503158,0.0006346,0.0086453,0.0136142,0.0020783,0.2506675,0.0003094,0.0244481,0.2276811,0.0010905,0.0214241,0.0185052,0.0002235,0.0031877
4,0.0075672,0.0438050,0.0013215,0.0025622,0.0060413,0.0112120,0.0135865,0.0077488,0.0111306,0.0015170,0.0011089,0.0013578,0.0260061,0.0659768,0.0043788,0.0031510,0.0040288,0.0003633,0.0002901,0.0816106,0.0257216,0.0656867,0.0124009,0.0372011,0.0067039,0.0025538,0.0041246,0.0006363,0.0004253,0.0813750,0.0120535,0.0367758,0.0019039,0.0009817,0.0013957,0.0211210,0.0053847,0.0108016,0.0074471,0.0230640,0.0079508,0.0023109,0.0041906,0.0010504,0.0005570,0.0810686,0.0070998,0.0225070,0.0024288,0.0008505,0.0014475,0.0310764,0.0046314,0.0108537,0.0043936,0.0158711,0.0149176,0.0017726,0.0043055,0.0017256,0.0007722,0.0810686,0.0038477,0.0150989,0.0033064,0.0006766,0.0015484,0.0538230,0.0036926,0.0104923,0.0027674,0.0113401,0.0301868,0.0012347,0.0045018,0.0046899,0.0012068,0.0799568,0.0022215,0.0101334,0.0749300,0.0025008,0.0093586,0.0078876,0.0004867,0.0017968
5,0.0036481,0.0474458,0.0011258,0.0021562,0.0054563,0.0103954,0.0134642,0.0072427,0.0099221,0.0016273,0.0009635,0.0012081,0.0166579,0.0386204,0.0050310,0.0027524,0.0036065,0.0003762,0.0003093,0.0597369,0.0164130,0.0383111,0.0097866,0.0243341,0.0061450,0.0021374,0.0037161,0.0006765,0.0003996,0.0595145,0.0094941,0.0239345,0.0020620,0.0008315,0.0012846,0.0180645,0.0050175,0.0095447,0.0060227,0.0177836,0.0078271,0.0017546,0.0037986,0.0011431,0.0005195,0.0591208,0.0056658,0.0172641,0.0025392,0.0007473,0.0013384,0.0246360,0.0037010,0.0092338,0.0039819,0.0128492,0.0113655,0.0015564,0.0038879,0.0019648,0.0007293,0.0589981,0.0035401,0.0121199,0.0039582,0.0006545,0.0014242,0.0332312,0.0032928,0.0089559,0.0021429,0.0095661,0.0177832,0.0011056,0.0040403,0.0069377,0.0011051,0.0573467,0.0016745,0.0084610,0.0511953,0.0018631,0.0081077,0.0087496,0.0004754,0.0016370
6,0.0236369,0.1267635,0.0013596,0.0028099,0.0071887,0.0155565,0.0175090,0.0127701,0.0151980,0.0017771,0.0011321,0.0014135,0.0733306,0.1009464,0.0058402,0.0038634,0.0045862,0.0004012,0.0002959,0.1214576,0.0730959,0.1006505,0.0106733,0.0494738,0.0072312,0.0019687,0.0047153,0.0005952,0.0004131,0.1212520,0.0103744,0.0490607,0.0021418,0.0007054,0.0014987,0.0306838,0.0053145,0.0149014,0.0047881,0.0304059,0.0101809,0.0013572,0.0049368,0.0010867,0.0005789,0.1206204,0.0044298,0.0298271,0.0030043,0.0005872,0.0015939,0.0533578,0.0027676,0.0141525,0.0031760,0.0200624,0.0185261,0.0012009,0.0051518,0.0035579,0.0008850,0.1205972,0.0028169,0.0191774,0.0057562,0.0004316,0.0017973,0.0755934,0.0025265,0.0133738,0.0016917,0.0140523,0.0501193,0.0008632,0.0054756,0.0152497,0.0015199,0.1139600,0.0012016,0.0125323,0.1008156,0.0014959,0.0116261,0.0171893,0.0003099,0.0022321
7,0.0126458,0.0925157,0.0014273,0.0028590,0.0082266,0.0264881,0.0426335,0.0136337,0.0282057,0.0016135,0.0013250,0.0014489,0.1421909,0.1760599,0.0055545,0.0041510,0.0048262,0.0003606,0.0002959,0.2037842,0.1418398,0.1757640,0.0164086,0.0860078,0.0104612,0.0030869,0.0053917,0.0006863,0.0004234,0.2035295,0.0159849,0.0855844,0.0022695,0.0010546,0.0015484,0.0924754,0.0075852,0.0290123,0.0087314,0.0574685,0.0210395,0.0024717,0.0057524,0.0018667,0.0006131,0.2035295,0.0081117,0.0568554,0.0059080,0.0008975,0.0017203,0.1309664,0.0059251,0.0278946,0.0054738,0.0368417,0.0348003,0.0017515,0.0063091,0.0038375,0.0009335,0.2031903,0.0049812,0.0359082,0.0084547,0.0004074,0.0019800,0.1422781,0.0038909,0.0240174,0.0033442,0.0239520,0.0697202,0.0008472,0.0069128,0.0135573,0.0016157,0.2031855,0.0025118,0.0223363,0.1820278,0.0028644,0.0197783,0.0195027,0.0002237,0.0024590
8,0.0140109,0.1180760,0.0013927,0.0029486,0.0087977,0.0230023,0.0471613,0.0087685,0.0218316,0.0029102,0.0010620,0.0017239,0.0637354,0.1051906,0.0103257,0.0032091,0.0057606,0.0004413,0.0003223,0.1788967,0.0634248,0.1048683,0.0110292,0.0624244,0.0128981,0.0024361,0.0058985,0.0009952,0.0004571,0.1788967,0.0105333,0.0619672,0.0037884,0.0008460,0.0017896,0.0774106,0.0060180,0.0215332,0.0063773,0.0440845,0.0158237,0.0019103,0.0061009,0.0014528,0.0006667,0.1788967,0.0060833,0.0434178,0.0048019,0.0007321,0.0019471,0.0863871,0.0040253,0.0209190,0.0043137,0.0301017,0.0346293,0.0017629,0.0063245,0.0039994,0.0009889,0.1753386,0.0037426,0.0291128,0.0110044,0.0005823,0.0021219,0.1139554,0.0035140,0.0197231,0.0022062,0.0205671,0.0483501,0.0011827,0.0067809,0.0126821,0.0016188,0.1751591,0.0019122,0.0189483,0.1486643,0.0018798,0.0167788,0.0182657,0.0003224,0.0025004
9,0.0121042,0.0734038,0.0011596,0.0022161,0.0052765,0.0093386,0.0107526,0.0083307,0.0093601,0.0012232,0.0010702,0.0011622,0.0221310,0.0381978,0.0037278,0.0031945,0.0034903,0.0003430,0.0002873,0.0497084,0.0218902,0.0379105,0.0127948,0.0224472,0.0046476,0.0026504,0.0035476,0.0005219,0.0003706,0.0496317,0.0124241,0.0220765,0.0014521,0.0009463,0.0011899,0.0161726,0.0062918,0.0091672,0.0057349,0.0162828,0.0067211,0.0020242,0.0036289,0.0008985,0.0004903,0.0493210,0.0054169,0.0157925,0.0023067,0.0008322,0.0012573,0.0217351,0.0043401,0.0087943,0.0044407,0.0121531,0.0097766,0.0016765,0.0037229,0.0021348,0.0007059,0.0492781,0.0038813,0.0114472,0.0032758,0.0006449,0.0013643,0.0248552,0.0036540,0.0083659,0.0022425,0.0090603,0.0154421,0.0008884,0.0038705,0.0051906,0.0010912,0.0483966,0.0016816,0.0079691,0.0401534,0.0016841,0.0076347,0.0059298,0.0004178,0.0015958
10,0.0061988,0.0503967,0.0010216,0.0019040,0.0044944,0.0081702,0.0100671,0.0060438,0.0077895,0.0012838,0.0009091,0.0010621,0.0143448,0.0229053,0.0038068,0.0024475,0.0030256,0.0002700,0.0002116,0.0300858,0.0141393,0.0226937,0.0068011,0.0165170,0.0049858,0.0018988,0.0030711,0.0005359,0.0003427,0.0297155,0.0065955,0.0161743,0.0015288,0.0007663,0.0010781,0.0139245,0.0039951,0.0076737,0.0046898,0.0126435,0.0065475,0.0017429,0.0031495,0.0009543,0.0004524,0.0293401,0.0042640,0.0121911,0.0021765,0.0007060,0.0011291,0.0181668,0.0034405,0.0074007,0.0034079,0.0099163,0.0116697,0.0015207,0.0032236,0.0014330,0.0006150,0.0290678,0.0028227,0.0093013,0.0045310,0.0005804,0.0011902,0.0219929,0.0028261,0.0070853,0.0023521,0.0077560,0.0151841,0.0008812,0.0033203,0.0039365,0.0009359,0.0288128,0.0015536,0.0068201,0.0283034,0.0020655,0.0065251,0.0065369,0.0003927,0.0013758
