OID_,vh_raw,vv_raw,roughness_p5,roughness_p25,roughness_p75,roughness_p95,Point_ID,S1_pixel_ID,VV_GLCM_cor,VV_GLCM_mean,VV_GLCM_var,VH_GLCM_mean,VH_GLCM_cor,VH_GLCM_var
1,0.0053706,0.0247410,0.0014295,0.0027608,0.0064687,0.0117276,1,270,1.0000000,62.0000000,1922.0000000,54.2777786,0.9581115,1547.7611084
2,0.0041798,0.0384940,0.0011541,0.0024249,0.0065984,0.0125832,2,981,1.0000000,62.0000000,1922.0000000,54.7277794,0.9628597,1568.5278320
3,0.0079459,0.0870447,0.0018948,0.0042665,0.0116295,0.0274794,3,768,1.0000000,62.0000000,1922.0000000,54.5527763,0.9609629,1560.8360596
4,0.0075672,0.0438050,0.0013215,0.0025622,0.0060413,0.0112120,4,214,1.0000000,62.0000000,1922.0000000,54.2361107,0.9577660,1545.6861572
5,0.0036481,0.0474458,0.0011258,0.0021562,0.0054563,0.0103954,5,956,1.0000000,62.0000000,1922.0000000,54.6055565,0.9622247,1561.8666992
6,0.0236369,0.1267635,0.0013596,0.0028099,0.0071887,0.0155565,6,1532,1.0000000,62.0000000,1922.0000000,56.5861130,0.9733126,1660.8972168
7,0.0126458,0.0925157,0.0014273,0.0028590,0.0082266,0.0264881,7,1252,1.0000000,62.0000000,1922.0000000,55.5666656,0.9665318,1613.4721680
8,0.0140109,0.1180760,0.0013927,0.0029486,0.0087977,0.0230023,8,860,1.0000000,62.0000000,1922.0000000,54.9083328,0.9621224,1580.8972168
9,0.0121042,0.0734038,0.0011596,0.0022161,0.0052765,0.0093386,9,714,1.0000000,62.0000000,1922.0000000,54.5777779,0.9589466,1564.9000244
10,0.0061988,0.0503967,0.0010216,0.0019040,0.0044944,0.0081702,10,135,1.0000000,62.0000000,1922.0000000,54.8250008,0.9629082,1574.3972168
11,0.0518249,0.1584449,0.0010587,0.0020826,0.0053747,0.0099793,11,672,1.0000000,62.0000000,1922.0000000,56.2750015,0.9712767,1648.9694824
12,0.0322534,0.1125420,0.0011472,0.0022041,0.0052329,0.0096974,12,864,1.0000000,62.0000000,1922.0000000,55.5666656,0.9667801,1613.6555176
13,0.0161384,0.0482296,0.0008557,0.0015586,0.0035799,0.0064965,13,553,1.0000000,62.0000000,1922.0000000,55.1944427,0.9635817,1595.1999512
14,0.0087148,0.0509634,0.0010167,0.0019360,0.0046709,0.0086437,14,1484,1.0000000,62.0000000,1922.0000000,55.3416672,0.9668441,1599.4305420
15,0.0628827,0.1925146,0.0012637,0.0025659,0.0061741,0.0104647,15,1083,1.0000000,62.0000000,1922.0000000,56.5305557,0.9725952,1661.4083252
16,0.0221239,0.1083517,0.0008274,0.0014953,0.0033443,0.0059343,16,718,1.0000000,62.0000000,1922.0000000,56.1555557,0.9695503,1642.7833252
17,0.0165636,0.0994752,0.0008498,0.0015821,0.0038939,0.0077319,17,1570,1.0000000,62.0000000,1922.0000000,56.1888885,0.9718302,1641.2388916
18,0.0727276,0.3453006,0.0008352,0.0015563,0.0038129,0.0077603,18,504,1.0000000,62.0000000,1922.0000000,58.2305565,0.9797536,1741.4583740
19,0.0182589,0.3054061,0.0008064,0.0014928,0.0034879,0.0068615,19,803,1.0000000,62.0000000,1922.0000000,57.9000015,0.9774711,1724.6944580
20,0.0137088,0.1449435,0.0008651,0.0016022,0.0034308,0.0056252,20,191,1.0000000,62.0000000,1922.0000000,57.7833328,0.9780903,1716.3889160
21,0.0150434,0.0468490,0.0007783,0.0014897,0.0052050,0.0165218,21,1253,1.0000000,62.0000000,1922.0000000,55.2500000,0.9662070,1595.9888916
22,0.0360099,0.0580475,0.0018508,0.0037808,0.0097492,0.0209518,22,524,1.0000000,62.0000000,1922.0000000,56.4305573,0.9724727,1651.7972412
23,0.0083805,0.0453020,0.0006997,0.0012122,0.0027028,0.0061796,23,1299,1.0000000,62.0000000,1922.0000000,55.2027779,0.9660765,1593.2083740
24,0.0114937,0.0306708,0.0010102,0.0020744,0.0069764,0.0165139,24,1208,1.0000000,62.0000000,1922.0000000,56.3805542,0.9723495,1648.8527832
25,0.0054352,0.0404614,0.0008057,0.0014395,0.0033318,0.0059899,25,1395,1.0000000,62.0000000,1922.0000000,55.0444450,0.9653263,1584.4555664
26,0.0044787,0.0204857,0.0006785,0.0011741,0.0025318,0.0043452,26,951,1.0000000,62.0000000,1922.0000000,56.2083321,0.9716252,1639.2694092
27,0.0155601,0.0654653,0.0009177,0.0016723,0.0040488,0.0077691,27,1106,1.0000000,62.0000000,1922.0000000,57.2416649,0.9752849,1691.1639404
28,0.0049263,0.0415763,0.0009035,0.0016373,0.0038215,0.0067625,28,373,1.0000000,62.0000000,1922.0000000,55.0944443,0.9647321,1588.3166504
29,0.0056537,0.0405445,0.0005826,0.0009605,0.0019486,0.0033063,29,1420,1.0000000,62.0000000,1922.0000000,56.1555557,0.9707503,1637.2443848
30,0.0105270,0.0676008,0.0008199,0.0014685,0.0033505,0.0058589,30,221,1.0000000,62.0000000,1922.0000000,55.3916664,0.9671261,1602.3360596
31,0.0112706,0.0679140,0.0007222,0.0012893,0.0029944,0.0054282,31,1507,1.0000000,62.0000000,1922.0000000,56.2777786,0.9718681,1642.4610596
32,0.0200363,0.1069273,0.0009421,0.0018748,0.0054589,0.0136180,32,1565,1.0000000,62.0000000,1922.0000000,56.0666656,0.9708904,1635.3889160
33,0.0164537,0.0819042,0.0008545,0.0015502,0.0035602,0.0062360,33,781,1.0000000,62.0000000,1922.0000000,56.7138901,0.9747261,1663.4416504
