S1_pixel_ID,date,moran,z,p
1,219,0.559527,31.288888,0
2,219,0.552251,30.905806,0
3,219,0.545419,30.47748,0
4,219,0.745388,41.875341,0
5,219,0.691269,39.325325,0
6,219,0.486295,27.206965,0
7,219,0.484044,27.038675,0
8,219,0.483802,27.113747,0
9,219,0.68269,38.215338,0
10,219,0.558742,31.330464,0
11,219,0.620535,34.682864,0
13,219,0.492763,27.559084,0
14,219,0.512405,28.654751,0
15,219,0.664862,37.32994,0
16,219,0.697935,39.020523,0
17,219,0.665944,37.208049,0
18,219,0.642869,35.899576,0
19,219,0.569045,31.779499,0
20,219,0.666168,37.378758,0
21,219,0.58758,32.851991,0
22,219,0.537405,30.092998,0
23,219,0.489015,27.310105,0
24,219,0.558333,31.825955,0
25,219,0.525913,29.377545,0
26,219,0.715361,40.182736,0
27,219,0.531916,29.736189,0
28,219,0.67049,37.523044,0
29,219,0.548785,30.668259,0
30,219,0.42497,23.838919,0
31,219,0.50362,28.25024,0
33,219,0.496888,27.753612,0
34,219,0.625377,34.963026,0
35,219,0.549887,30.761554,0
36,219,0.523926,29.280459,0
37,219,0.624039,34.832665,0
38,219,0.651966,36.61126,0
40,219,0.702456,39.294519,0
41,219,0.485111,27.236639,0
42,219,0.686502,38.442291,0
43,219,0.700143,39.381963,0
44,219,0.746865,41.741362,0
47,219,0.712994,39.836937,0
48,219,0.42371,23.68388,0
49,219,0.585017,32.774382,0
50,219,0.587956,32.920588,0
51,219,0.601793,33.639566,0
53,219,0.577436,32.438317,0
54,219,0.562854,31.479965,0
55,219,0.554149,30.951929,0
56,219,0.6711,37.595282,0
57,219,0.523462,29.320485,0
58,219,0.651545,36.450207,0
59,219,0.630587,35.302276,0
60,219,0.516003,28.817452,0
61,219,0.627837,35.170627,0
62,219,0.542947,30.432646,0
63,219,0.608232,34.084416,0
64,219,0.637903,35.677764,0
66,219,0.548966,30.704611,0
67,219,0.544877,30.435764,0
68,219,0.492086,27.502271,0
69,219,0.602575,33.712166,0
70,219,0.583555,32.616651,0
71,219,0.701706,39.294949,0
72,219,0.607861,34.017556,0
75,219,0.515081,28.776478,0
77,219,0.678459,38.34279,0
78,219,0.467482,26.140633,0
79,219,0.614098,34.297577,0
80,219,0.723146,40.43829,0
82,219,0.581013,32.465834,0
83,219,0.621146,34.770365,0
84,219,0.642693,36.063678,0
85,219,0.48312,27.027797,0
86,219,0.603284,33.783629,0
87,219,0.653905,36.598236,0
88,219,0.545401,30.663538,0
89,219,0.652115,36.702806,0
90,219,0.37131,20.752826,0
91,219,0.599931,33.555419,0
92,219,0.736661,41.224281,0
93,219,0.634685,35.457737,0
94,219,0.559342,31.268393,0
95,219,0.397129,22.197029,0
96,219,0.543308,30.364276,0
97,219,0.519906,29.04137,0
98,219,0.609884,34.087922,0
99,219,0.626243,35.458048,0
100,219,0.543318,30.410221,0
102,219,0.581581,32.580801,0
103,219,0.591416,33.083231,0
104,219,0.631426,35.341512,0
106,219,0.750568,42.337192,0
107,219,0.673195,37.794592,0
108,219,0.666788,37.338887,0
109,219,0.560618,31.381551,0
110,219,0.699508,39.128025,0
111,219,0.456433,25.568353,0
112,219,0.615982,34.470693,0
113,219,0.544734,30.43634,0
115,219,0.603656,33.890858,0
117,219,0.502726,28.184308,0
118,219,0.614731,34.542634,0
119,219,0.527417,29.539518,0
120,219,0.456288,25.499476,0
121,219,0.714211,39.944851,0
122,219,0.538088,30.121823,0
123,219,0.65725,36.809154,0
124,219,0.540045,30.185896,0
125,219,0.642476,35.886785,0
126,219,0.637688,36.100518,0
127,219,0.53036,29.843368,0
128,219,0.477358,26.686258,0
129,219,0.594025,33.257048,0
130,219,0.623655,34.893087,0
131,219,0.577269,32.652753,0
132,219,0.621053,34.745228,0
133,219,0.597425,33.527112,0
134,219,0.632934,35.49292,0
135,219,0.610536,34.143388,0
136,219,0.71281,39.83344,0
137,219,0.794493,44.483256,0
138,219,0.537769,30.07155,0
139,219,0.634271,35.716065,0
142,219,0.698252,39.131382,0
143,219,0.566425,31.654343,0
144,219,0.597899,34.522499,0
145,219,0.580044,32.470182,0
146,219,0.447329,25.107216,0
147,219,0.557888,31.258974,0
148,219,0.504413,28.215681,0
150,219,0.597566,33.400815,0
151,219,0.473403,26.458058,0
153,219,0.605688,33.907864,0
154,219,0.588143,33.005742,0
155,219,0.484227,27.224883,0
156,219,0.58203,32.520699,0
157,219,0.718074,40.238833,0
158,219,0.527949,29.533478,0
159,219,0.53682,30.070193,0
160,219,0.592305,33.366172,0
161,219,0.688844,38.666441,0
162,219,0.456036,25.528854,0
163,219,0.469321,26.25529,0
164,219,0.588667,33.233698,0
165,219,0.578738,32.358267,0
166,219,0.619829,34.660598,0
167,219,0.522828,29.22857,0
168,219,0.698015,39.03393,0
169,219,0.446079,24.941114,0
170,219,0.601498,33.665916,0
171,219,0.547993,30.76128,0
172,219,0.446207,24.928832,0
173,219,0.600206,33.55967,0
174,219,0.40812,22.806098,0
175,219,0.424546,23.714722,0
176,219,0.530816,29.7184,0
177,219,0.592015,33.150624,0
178,219,0.519153,29.17,0
179,219,0.453599,25.38359,0
180,219,0.592284,33.153939,0
181,219,0.80457,44.999442,0
182,219,0.647306,36.383204,0
183,219,0.581191,32.550693,0
184,219,0.635932,36.024958,0
185,219,0.513464,28.723084,0
186,219,0.544119,30.414534,0
187,219,0.457695,25.587656,0
188,219,0.302912,16.930742,0
189,219,0.544551,30.966166,0
190,219,0.580738,32.47221,0
191,219,0.62673,35.000873,0
192,219,0.634658,35.864967,0
193,219,0.688198,38.442691,0
194,219,0.587715,32.85536,0
195,219,0.601959,33.808032,0
196,219,0.51466,28.731087,0
197,219,0.709619,39.885388,0
198,219,0.623717,34.863534,0
199,219,0.675695,38.004475,0
201,219,0.63987,35.796193,0
202,219,0.70191,39.61198,0
203,219,0.596039,33.968569,0
204,219,0.51505,29.206126,0
205,219,0.565141,31.559838,0
207,219,0.648665,36.240015,0
208,219,0.628356,35.177958,0
210,219,0.420932,23.515348,0
211,219,0.486288,27.186258,0
213,219,0.427115,26.944523,0
214,219,0.499403,28.038872,0
215,219,0.534182,30.220868,0
217,219,0.424236,23.693023,0
218,219,0.595232,33.309435,0
219,219,0.526511,29.417147,0
220,219,0.637093,35.604498,0
221,219,0.498262,27.832134,0
222,219,0.57654,32.26865,0
223,219,0.357292,19.971419,0
224,219,0.474596,26.558834,0
225,219,0.56126,31.550849,0
226,219,0.599466,33.553225,0
227,219,0.559469,31.245129,0
228,219,0.623124,34.876784,0
229,219,0.402652,22.510592,0
231,219,0.700759,39.354835,0
232,219,0.643952,36.024324,0
233,219,0.555801,31.057703,0
234,219,0.691074,38.647757,0
235,219,0.682083,38.202062,0
236,219,0.623408,34.937185,0
237,219,0.610868,34.175595,0
238,219,0.647575,36.394206,0
239,219,0.549884,30.761872,0
