S1_pixel_ID,date,moran,z,p
2,302,0.427213,23.855879,0
3,302,0.753642,42.085244,0
4,302,0.396437,22.139522,0
5,302,0.709084,40.604279,0
6,302,0.617545,34.489435,0
7,302,0.522872,29.263481,0
8,302,0.672247,38.063609,0
9,302,0.426181,23.809052,0
10,302,0.618893,34.598329,0
11,302,0.610317,34.090936,0
12,302,0.346387,19.343217,0
13,302,0.506788,28.297465,0
14,302,0.685951,38.414756,0
15,302,0.353407,19.738364,0
16,302,0.580455,32.479624,0
18,302,0.60318,34.217349,0
19,302,0.433601,24.23942,0
20,302,0.582,32.573751,0
21,302,0.672853,37.563717,0
22,302,0.580762,32.493901,0
23,302,0.460447,25.745746,0
24,302,0.392747,21.931591,0
25,302,0.669816,37.505852,0
26,302,0.656884,36.759616,0
27,302,0.602601,34.314604,0
29,302,0.515605,28.80429,0
30,302,0.773352,43.238416,0
31,302,0.507504,28.343164,0
32,302,0.708677,39.731751,0
34,302,0.611909,34.917725,0
35,302,0.753407,42.159499,0
36,302,0.699685,39.185606,0
37,302,0.507335,28.372168,0
38,302,0.705474,39.703942,0
39,302,0.600021,33.554028,0
40,302,0.500817,28.015249,0
41,302,0.452963,25.350506,0
42,302,0.557694,31.244963,0
43,302,0.3133,17.509705,0
44,302,0.576989,32.433122,0
45,302,0.76606,42.798973,0
46,302,0.697698,38.960334,0
47,302,0.549313,30.718176,0
48,302,0.527986,29.57271,0
49,302,0.31695,17.722248,0
50,302,0.700188,40.995647,0
51,302,0.461772,25.781676,0
53,302,0.746242,41.716336,0
54,302,0.4784,26.714574,0
55,302,0.496513,27.739854,0
56,302,0.381312,21.292187,0
57,302,0.486905,27.209515,0
58,302,0.552594,30.884514,0
59,302,0.692672,38.800369,0
60,302,0.339493,18.966015,0
61,302,0.349366,19.521175,0
62,302,0.410216,22.899868,0
63,302,0.641251,36.106194,0
64,302,0.488295,27.331582,0
65,302,0.536285,29.953681,0
66,302,0.545281,30.438406,0
67,302,0.578346,32.304102,0
69,302,0.467855,26.133457,0
70,302,0.438567,24.498544,0
