OID_,LABEL,CLASS_1,CLASS_2,CLASS_3,CLASS_4,CLASS_5,CLASS_6,CLASS_7,CLASS_8,CLASS_9,CLASS_10,CLASS_11,CLASS_12,CLASS_13,CLASS_14,CLASS_15,CLASS_16,CLASS_17,CLASS_18,CLASS_19,CLASS_20,CLASS_21,CLASS_22,CLASS_23,CLASS_24,CLASS_25,CLASS_26,CLASS_27,CLASS_28
1,OBJEC_2,915,8337,10861,57315,21794,7181,2859,688,173,72,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,OBJEC_3,726,6454,8524,44708,20504,10461,7250,4166,2712,1669,979,653,1086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,OBJEC_4,817,7543,10269,56239,24117,7573,2470,614,182,56,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,OBJEC_5,1031,9364,11983,53665,17702,5846,3522,2029,1287,910,622,384,1268,141,62,38,12,18,7,0,0,0,0,0,0,0,0,0
5,OBJEC_6,1477,12061,14137,53734,17029,6068,3116,1301,512,261,119,43,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,OBJEC_7,812,7561,9613,53216,23698,8665,3984,1274,355,141,63,52,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,OBJEC_8,887,7594,8945,40206,18117,9556,6746,4533,2902,1965,1342,1041,4132,1087,379,168,107,39,40,33,30,43,0,0,0,0,0,0
8,OBJEC_9,1817,16240,17470,59687,11198,2134,770,200,38,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,OBJEC_10,1123,10114,12471,56124,18046,5808,3269,1505,706,339,165,113,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,OBJEC_11,872,8099,10132,53644,20712,8328,4995,1926,807,337,171,92,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,OBJEC_12,1162,10437,13275,60526,17979,4673,1501,294,36,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,OBJEC_13,1249,11411,13519,58143,17896,4739,2100,675,119,29,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,OBJEC_14,1239,10396,12639,55806,17937,5547,2786,1185,597,401,311,208,509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,OBJEC_15,1751,14672,17181,61697,12250,1947,353,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,OBJEC_16,1210,10341,12688,55776,18341,6000,3012,1245,534,305,174,99,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,OBJEC_18,295,2912,3957,24664,19255,14608,13937,8290,5261,3331,2320,1839,7082,1143,395,177,126,72,47,30,33,94,24,0,0,0,0,0
17,OBJEC_19,884,7979,10554,55479,23162,7390,2920,757,251,106,39,14,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,OBJEC_20,1483,12519,14321,57496,16783,4440,1717,684,355,206,95,53,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,OBJEC_21,855,7249,8992,46298,22309,10125,6860,3489,1858,1055,525,321,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,OBJEC_22,1286,11173,13062,56151,18586,5665,2590,901,377,239,88,58,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,OBJEC_23,1722,14717,16675,61100,12625,2403,672,201,66,28,9,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,OBJEC_24,1260,10336,12706,59461,19244,4943,1756,429,76,10,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,OBJEC_25,303,2970,3972,25363,16690,12343,11071,8437,6244,4948,3582,2740,9801,1211,403,86,41,17,2,0,0,0,0,0,0,0,0,0
24,OBJEC_26,798,7540,9251,47960,21877,9781,5919,2789,1276,825,536,398,929,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,OBJEC_27,1022,9103,10772,51090,20323,8275,4632,2030,990,578,344,292,687,58,22,6,0,0,0,0,0,0,0,0,0,0,0,0
26,OBJEC_29,1705,13181,14474,55136,16549,5093,2261,950,338,141,42,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,OBJEC_30,674,6621,8016,42529,19889,10536,7383,4583,3060,2044,1302,862,2248,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,OBJEC_31,1162,10620,13322,57809,17329,5572,2754,843,272,121,60,19,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,OBJEC_32,1133,9844,12011,54935,18374,6556,3553,1705,793,449,296,180,390,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,OBJEC_34,505,4773,6474,37493,20908,11590,7728,4673,3302,2551,1673,1311,5335,1142,332,126,83,40,40,40,22,59,24,0,0,0,0,0
31,OBJEC_35,819,6346,8131,37229,14503,8037,6846,5065,3949,3274,2395,1901,8643,1981,516,171,58,19,7,2,0,0,0,0,0,0,0,0
32,OBJEC_36,781,6782,8452,43917,21808,11090,6996,3766,2107,1312,779,523,1110,137,1,0,0,0,0,0,0,0,0,0,0,0,0,0
