OID_,LABEL,CLASS_1,CLASS_2,CLASS_3,CLASS_4,CLASS_5,CLASS_6,CLASS_7,CLASS_8,CLASS_9,CLASS_10,CLASS_11,CLASS_12,CLASS_13,CLASS_14,CLASS_15,CLASS_16,CLASS_17,CLASS_18,CLASS_19,CLASS_20,CLASS_21,CLASS_22,CLASS_23,CLASS_24,CLASS_25,CLASS_26,CLASS_27,CLASS_28,CLASS_29,CLASS_30,CLASS_31,CLASS_32
1,OBJEC_2,0,0,2,0,1,8,54,471,3327,14346,27768,34459,19105,8416,2089,176,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,OBJEC_3,0,0,0,0,1,3,50,384,2661,11161,21205,27439,18373,13503,9400,4308,1251,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,OBJEC_4,0,0,0,0,1,5,62,414,2935,13393,26839,34203,21435,8689,1777,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,OBJEC_5,1,0,0,0,1,6,62,535,3796,15942,27503,30650,15474,7227,4539,2429,1035,420,130,85,39,18,0,0,0,0,0,0,0,0,0,0
5,OBJEC_6,0,2,0,2,1,3,111,780,5009,19466,29624,28671,15016,7421,3107,631,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,OBJEC_7,0,1,2,0,0,2,66,403,2952,12840,24538,33659,20793,10299,3448,405,144,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,OBJEC_8,0,0,2,1,0,3,52,418,3183,12280,20037,23772,16312,12388,9614,5271,2981,1703,1018,472,218,102,60,5,0,0,0,0,0,0,0,0
8,OBJEC_9,0,0,4,4,6,12,116,938,6704,24933,33837,30848,9102,2425,615,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,OBJEC_10,0,0,0,1,1,1,60,581,4085,16934,28060,32941,15446,7102,3610,912,155,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,OBJEC_11,0,0,0,0,0,6,47,464,3268,13538,24337,34505,17563,10599,4790,956,148,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,OBJEC_12,0,0,0,1,1,2,66,589,4281,17719,31215,34159,15558,5296,980,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,OBJEC_13,0,0,1,1,2,15,89,654,4704,18421,30405,32799,15302,5679,1719,98,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,OBJEC_14,0,0,0,2,3,10,78,668,4269,17174,28913,31572,15558,6709,2872,1116,531,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,OBJEC_15,1,3,1,2,3,7,103,907,5956,23814,35735,30836,10284,2059,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,OBJEC_16,0,0,1,0,1,3,81,618,4302,17052,28917,31549,16077,7208,3095,768,202,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,OBJEC_18,0,0,0,0,2,5,18,164,1109,5164,10156,17144,17711,20516,18594,9196,5285,2733,1075,489,256,132,97,46,0,0,0,0,0,0,0,0
17,OBJEC_19,0,2,0,0,1,9,64,426,3163,14006,26389,33884,20439,8645,2226,274,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,OBJEC_20,0,0,2,4,4,7,82,755,5283,19784,31005,31350,14513,5212,1625,499,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,OBJEC_21,0,0,1,1,0,6,50,446,3079,11980,22036,28573,19864,12989,8093,2669,420,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,OBJEC_22,1,1,0,0,1,8,62,665,4725,17867,28587,32416,16143,6730,2390,552,73,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,OBJEC_23,0,0,1,5,5,10,103,860,6238,23212,34193,31796,10547,2683,503,65,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,OBJEC_24,0,3,1,1,1,6,80,646,4215,17200,29711,34749,16610,5694,1259,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,OBJEC_25,0,0,0,1,1,1,18,156,1162,5193,10938,16847,15349,16820,17673,13091,7793,3478,1133,471,90,9,0,0,0,0,0,0,0,0,0,0
24,OBJEC_26,0,0,0,1,1,1,49,425,3021,12555,22698,29635,19416,12349,6442,2164,912,210,13,0,0,0,0,0,0,0,0,0,0,0,0,0
25,OBJEC_27,0,0,0,3,1,4,60,554,3731,14728,24339,31488,17697,10346,4805,1543,685,157,54,26,3,0,0,0,0,0,0,0,0,0,0,0
26,OBJEC_29,1,0,2,4,1,12,104,869,5681,20339,30048,29778,14435,5996,2261,348,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,OBJEC_30,0,0,0,2,0,2,31,348,2710,10826,19683,26788,17684,13754,9914,5315,2053,649,133,0,0,0,0,0,0,0,0,0,0,0,0,0
28,OBJEC_31,0,0,1,0,0,4,92,560,4310,17938,29564,33227,14759,6777,2333,310,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,OBJEC_32,0,0,1,1,0,3,75,581,4009,16263,28109,31404,16142,8016,3927,1210,387,91,5,0,0,0,0,0,0,0,0,0,0,0,0,0
30,OBJEC_34,0,0,1,2,0,0,34,266,1936,8413,17307,23561,19042,14875,10326,6555,3741,2326,1053,398,178,112,58,40,0,0,0,0,0,0,0,0
31,OBJEC_35,0,0,3,0,0,6,64,420,2600,10814,19464,20807,13097,10859,10681,8743,5910,3778,1847,616,163,20,0,0,0,0,0,0,0,0,0,0
32,OBJEC_36,0,0,0,2,1,5,57,387,2762,11375,20968,26846,19695,14039,8541,3396,973,384,129,1,0,0,0,0,0,0,0,0,0,0,0,0
33,OBJEC_37,0,0,0,1,0,2,56,582,4389,16931,28045,31812,17146,7803,2537,510,73,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,OBJEC_38,0,0,0,1,2,4,50,416,3183,13489,24676,32500,20181,10034,3753,933,442,455,105,0,0,0,0,0,0,0,0,0,0,0,0,0
35,OBJEC_39,0,0,0,2,1,3,35,284,1936,8679,18790,29075,23266,16635,8420,2256,412,96,2,0,0,0,0,0,0,0,0,0,0,0,0,0
36,OBJEC_40,0,0,1,0,2,3,42,342,2552,10603,21175,32696,22400,12774,6295,878,118,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
