,run_no,predict,valid
0,1,mixed,smooth
1,1,smooth,mixed
2,1,mixed,mixed
3,1,smooth,mixed
4,1,smooth,rough
5,1,mixed,smooth
6,1,mixed,mixed
7,1,mixed,mixed
8,1,mixed,mixed
9,1,smooth,mixed
10,1,rough,rough
11,1,smooth,mixed
12,1,mixed,mixed
13,1,rough,mixed
14,1,rough,mixed
15,1,mixed,mixed
16,1,mixed,mixed
17,1,mixed,rough
18,1,mixed,smooth
19,1,mixed,smooth
20,1,mixed,mixed
21,1,mixed,mixed
22,1,rough,rough
23,1,mixed,mixed
24,1,mixed,mixed
25,1,mixed,mixed
26,1,mixed,mixed
27,1,mixed,mixed
28,1,mixed,mixed
29,1,mixed,mixed
30,1,smooth,water
31,1,mixed,mixed
32,1,rough,rough
33,1,mixed,water
34,1,mixed,water
35,1,mixed,rough
36,1,mixed,water
37,1,mixed,mixed
38,1,mixed,smooth
39,1,mixed,mixed
40,1,mixed,mixed
41,1,mixed,water
42,1,mixed,mixed
43,1,mixed,mixed
44,1,mixed,mixed
45,1,mixed,mixed
46,1,rough,mixed
47,1,mixed,water
48,1,mixed,mixed
49,1,smooth,mixed
50,1,mixed,mixed
51,1,rough,rough
52,1,smooth,smooth
53,1,rough,rough
54,1,mixed,smooth
55,1,mixed,mixed
56,1,smooth,smooth
57,1,mixed,mixed
58,1,mixed,mixed
59,1,rough,rough
60,1,mixed,mixed
61,1,smooth,rough
62,1,mixed,mixed
63,1,mixed,mixed
64,1,mixed,mixed
65,1,smooth,mixed
66,1,mixed,mixed
67,1,mixed,mixed
68,1,mixed,mixed
69,1,rough,rough
70,1,mixed,mixed
71,1,mixed,mixed
72,1,mixed,smooth
73,1,mixed,smooth
74,1,smooth,mixed
75,1,mixed,mixed
76,1,mixed,water
77,1,mixed,mixed
78,1,rough,rough
79,1,rough,rough
80,1,mixed,mixed
81,1,mixed,water
82,1,mixed,mixed
83,1,mixed,mixed
84,1,mixed,mixed
85,1,smooth,mixed
86,1,mixed,mixed
87,1,rough,mixed
88,1,mixed,mixed
89,1,smooth,mixed
90,1,smooth,mixed
91,1,mixed,smooth
92,1,mixed,mixed
93,1,rough,rough
94,1,mixed,mixed
95,1,mixed,smooth
96,1,mixed,mixed
97,1,mixed,mixed
98,1,rough,rough
99,1,mixed,mixed
100,1,mixed,mixed
101,1,smooth,mixed
102,1,mixed,mixed
103,1,smooth,rough
104,1,mixed,mixed
105,1,mixed,mixed
106,1,rough,rough
107,1,mixed,rough
108,1,rough,smooth
109,1,mixed,smooth
110,1,mixed,mixed
111,1,mixed,mixed
112,1,mixed,mixed
113,1,rough,rough
114,1,rough,rough
115,1,mixed,smooth
116,1,mixed,mixed
117,1,mixed,mixed
118,1,smooth,smooth
119,1,rough,mixed
120,1,mixed,mixed
121,1,smooth,mixed
122,1,mixed,mixed
123,1,smooth,rough
124,1,rough,smooth
125,1,mixed,mixed
126,1,mixed,mixed
127,1,mixed,mixed
128,1,mixed,mixed
129,1,mixed,mixed
130,1,mixed,mixed
131,1,mixed,smooth
132,1,mixed,mixed
133,1,mixed,mixed
134,1,mixed,smooth
135,1,smooth,mixed
136,1,smooth,mixed
137,1,mixed,mixed
138,1,mixed,mixed
139,1,rough,rough
140,1,rough,rough
141,1,rough,rough
142,1,rough,rough
143,1,rough,rough
144,1,mixed,smooth
145,1,mixed,mixed
146,1,mixed,mixed
147,1,mixed,mixed
148,1,mixed,mixed
149,1,mixed,smooth
150,1,mixed,water
151,1,mixed,smooth
152,1,mixed,rough
153,1,mixed,water
154,1,smooth,rough
155,1,mixed,water
156,1,smooth,smooth
157,1,mixed,mixed
158,1,mixed,smooth
159,1,smooth,smooth
160,1,smooth,rough
161,1,mixed,mixed
162,1,mixed,mixed
163,1,mixed,mixed
164,1,mixed,rough
165,1,mixed,smooth
166,1,mixed,rough
167,1,mixed,mixed
168,1,mixed,smooth
169,1,mixed,rough
170,1,mixed,smooth
171,1,mixed,smooth
172,1,mixed,smooth
173,1,mixed,smooth
174,1,smooth,mixed
175,1,smooth,water
176,1,mixed,rough
177,1,smooth,mixed
178,1,mixed,rough
179,1,mixed,smooth
180,1,mixed,mixed
181,1,mixed,smooth
182,1,smooth,smooth
183,1,mixed,smooth
184,1,mixed,rough
185,1,mixed,smooth
186,1,mixed,smooth
187,1,mixed,rough
188,1,mixed,rough
189,1,mixed,smooth
190,1,smooth,water
191,1,mixed,rough
192,1,smooth,smooth
193,1,smooth,mixed
194,1,smooth,smooth
195,1,mixed,rough
196,1,smooth,mixed
197,1,mixed,rough
198,1,smooth,mixed
199,1,smooth,smooth
200,1,mixed,rough
201,1,mixed,smooth
202,1,mixed,mixed
203,1,mixed,smooth
204,1,mixed,smooth
205,1,mixed,rough
206,1,smooth,smooth
207,1,mixed,smooth
208,1,mixed,mixed
209,1,smooth,smooth
210,1,mixed,smooth
211,1,mixed,mixed
212,1,mixed,smooth
213,1,mixed,rough
214,1,mixed,rough
215,1,smooth,smooth
216,1,smooth,smooth
217,1,smooth,rough
218,1,smooth,mixed
219,1,mixed,smooth
220,1,mixed,smooth
221,1,smooth,smooth
222,1,smooth,smooth
223,1,rough,smooth
224,1,mixed,smooth
225,1,mixed,rough
226,1,mixed,smooth
227,1,smooth,smooth
228,1,mixed,rough
229,1,rough,smooth
230,1,mixed,smooth
231,1,smooth,smooth
232,1,mixed,rough
233,1,mixed,smooth
234,1,smooth,mixed
235,1,mixed,water
236,1,mixed,water
237,1,mixed,rough
238,1,mixed,smooth
239,1,mixed,mixed
240,1,mixed,mixed
241,1,smooth,smooth
242,1,smooth,smooth
243,1,mixed,rough
244,1,mixed,smooth
245,1,mixed,rough
246,1,smooth,smooth
247,1,smooth,smooth
248,1,mixed,mixed
249,1,mixed,rough
250,1,mixed,smooth
251,1,mixed,mixed
252,1,smooth,mixed
253,1,mixed,rough
254,1,mixed,smooth
255,1,mixed,smooth
256,1,mixed,smooth
257,1,mixed,smooth
258,1,mixed,mixed
259,1,mixed,mixed
