,run_no,predict,valid
0,1,smooth,rough
1,1,rough,rough
2,1,rough,rough
3,1,rough,rough
4,1,rough,rough
5,1,rough,rough
6,1,rough,rough
7,1,rough,rough
8,1,rough,rough
9,1,rough,rough
10,1,rough,rough
11,1,smooth,rough
12,1,rough,rough
13,1,rough,rough
14,1,rough,rough
15,1,rough,rough
16,1,smooth,smooth
17,1,smooth,smooth
18,1,smooth,smooth
19,1,smooth,smooth
20,1,rough,smooth
21,1,smooth,smooth
22,1,smooth,smooth
23,1,smooth,smooth
24,1,smooth,smooth
25,1,smooth,smooth
26,1,smooth,smooth
27,1,rough,smooth
28,1,smooth,smooth
29,1,smooth,smooth
30,1,smooth,smooth
31,1,smooth,smooth
32,1,smooth,smooth
33,1,smooth,smooth
34,1,smooth,smooth
35,1,rough,rough
36,1,rough,rough
37,1,rough,rough
38,1,rough,rough
39,1,smooth,rough
40,1,rough,rough
41,1,smooth,rough
42,1,smooth,rough
43,1,rough,rough
44,1,rough,rough
45,1,rough,rough
46,1,smooth,rough
47,1,smooth,rough
48,1,smooth,rough
49,1,smooth,rough
50,1,rough,rough
51,1,smooth,rough
52,1,smooth,rough
53,1,rough,rough
54,1,smooth,smooth
55,1,smooth,smooth
56,1,smooth,smooth
57,1,smooth,smooth
58,1,smooth,smooth
59,1,smooth,smooth
60,1,smooth,smooth
61,1,smooth,smooth
62,1,smooth,smooth
63,1,smooth,smooth
64,1,smooth,smooth
65,1,smooth,smooth
66,1,smooth,smooth
67,1,smooth,smooth
68,1,smooth,smooth
69,1,smooth,smooth
70,2,rough,rough
71,2,rough,rough
72,2,smooth,rough
73,2,rough,rough
74,2,rough,rough
75,2,rough,rough
76,2,rough,rough
77,2,rough,rough
78,2,rough,rough
79,2,rough,rough
80,2,rough,rough
81,2,rough,rough
82,2,rough,rough
83,2,rough,rough
84,2,rough,rough
85,2,rough,rough
86,2,rough,rough
87,2,smooth,smooth
88,2,rough,smooth
89,2,rough,smooth
90,2,smooth,smooth
91,2,smooth,smooth
92,2,rough,smooth
93,2,smooth,smooth
94,2,smooth,smooth
95,2,smooth,smooth
96,2,smooth,smooth
97,2,smooth,smooth
98,2,smooth,smooth
99,2,rough,smooth
100,2,smooth,smooth
101,2,rough,smooth
102,2,rough,smooth
103,2,smooth,smooth
104,2,smooth,smooth
105,2,rough,rough
106,2,smooth,rough
107,2,rough,rough
108,2,rough,rough
109,2,rough,rough
110,2,smooth,rough
111,2,smooth,rough
112,2,smooth,rough
113,2,rough,rough
114,2,rough,rough
115,2,rough,rough
116,2,rough,rough
117,2,smooth,rough
118,2,rough,rough
119,2,rough,rough
120,2,rough,rough
121,2,rough,rough
122,2,smooth,smooth
123,2,smooth,smooth
124,2,smooth,smooth
125,2,smooth,smooth
126,2,smooth,smooth
127,2,smooth,smooth
128,2,smooth,smooth
129,2,rough,smooth
130,2,smooth,smooth
131,2,smooth,smooth
132,2,smooth,smooth
133,2,smooth,smooth
134,2,rough,smooth
135,2,smooth,smooth
136,2,smooth,smooth
137,2,smooth,smooth
138,2,rough,smooth
139,2,smooth,smooth
140,3,smooth,rough
141,3,rough,rough
142,3,rough,rough
143,3,rough,rough
144,3,rough,rough
145,3,rough,rough
146,3,rough,rough
147,3,rough,rough
148,3,rough,rough
149,3,rough,rough
150,3,rough,rough
151,3,rough,rough
152,3,rough,rough
153,3,rough,rough
154,3,rough,rough
155,3,smooth,smooth
156,3,smooth,smooth
157,3,rough,smooth
158,3,smooth,smooth
159,3,smooth,smooth
160,3,smooth,smooth
161,3,smooth,smooth
162,3,smooth,smooth
163,3,smooth,smooth
164,3,rough,smooth
165,3,smooth,smooth
166,3,rough,smooth
167,3,smooth,smooth
168,3,smooth,smooth
169,3,smooth,smooth
170,3,smooth,smooth
171,3,smooth,smooth
172,3,smooth,smooth
173,3,smooth,smooth
174,3,smooth,smooth
175,3,smooth,rough
176,3,rough,rough
177,3,rough,rough
178,3,rough,rough
179,3,smooth,rough
180,3,smooth,rough
181,3,rough,rough
182,3,rough,rough
183,3,rough,rough
184,3,smooth,rough
185,3,smooth,rough
186,3,rough,rough
187,3,rough,rough
188,3,smooth,smooth
189,3,smooth,smooth
190,3,smooth,smooth
191,3,smooth,smooth
192,3,smooth,smooth
193,3,smooth,smooth
194,3,rough,smooth
195,3,smooth,smooth
196,3,smooth,smooth
197,3,smooth,smooth
198,3,smooth,smooth
199,3,smooth,smooth
200,3,smooth,smooth
201,3,smooth,smooth
202,3,smooth,smooth
203,3,smooth,smooth
204,3,rough,smooth
205,3,rough,smooth
206,3,smooth,smooth
207,3,smooth,smooth
208,3,smooth,smooth
209,3,smooth,smooth
210,4,rough,rough
211,4,rough,rough
212,4,smooth,rough
213,4,rough,rough
214,4,rough,rough
215,4,rough,rough
216,4,smooth,rough
217,4,rough,rough
218,4,rough,rough
219,4,rough,rough
220,4,rough,rough
221,4,smooth,rough
222,4,rough,rough
223,4,rough,rough
224,4,rough,rough
225,4,rough,rough
226,4,rough,rough
227,4,rough,rough
228,4,rough,rough
229,4,smooth,smooth
230,4,smooth,smooth
231,4,smooth,smooth
232,4,smooth,smooth
233,4,smooth,smooth
234,4,smooth,smooth
235,4,smooth,smooth
236,4,smooth,smooth
237,4,smooth,smooth
238,4,smooth,smooth
239,4,smooth,smooth
240,4,smooth,smooth
241,4,smooth,smooth
242,4,rough,smooth
243,4,smooth,smooth
244,4,smooth,smooth
245,4,rough,rough
246,4,rough,rough
247,4,smooth,rough
248,4,smooth,rough
249,4,smooth,rough
250,4,rough,rough
251,4,smooth,rough
252,4,smooth,rough
253,4,rough,rough
254,4,smooth,rough
255,4,smooth,rough
256,4,rough,rough
257,4,smooth,rough
258,4,rough,rough
259,4,rough,rough
260,4,smooth,rough
261,4,smooth,rough
262,4,rough,rough
263,4,rough,smooth
264,4,smooth,smooth
265,4,smooth,smooth
266,4,smooth,smooth
267,4,smooth,smooth
268,4,smooth,smooth
269,4,smooth,smooth
270,4,smooth,smooth
271,4,smooth,smooth
272,4,smooth,smooth
273,4,smooth,smooth
274,4,smooth,smooth
275,4,smooth,smooth
276,4,smooth,smooth
277,4,smooth,smooth
278,4,smooth,smooth
279,4,rough,smooth
280,5,smooth,rough
281,5,rough,rough
282,5,rough,rough
283,5,rough,rough
284,5,rough,rough
285,5,rough,rough
286,5,rough,rough
287,5,rough,rough
288,5,rough,rough
289,5,rough,rough
290,5,rough,rough
291,5,rough,rough
292,5,rough,rough
293,5,rough,rough
294,5,rough,rough
295,5,rough,rough
296,5,rough,rough
297,5,smooth,smooth
298,5,smooth,smooth
299,5,smooth,smooth
300,5,smooth,smooth
301,5,rough,smooth
302,5,smooth,smooth
303,5,smooth,smooth
304,5,smooth,smooth
305,5,rough,smooth
306,5,smooth,smooth
307,5,smooth,smooth
308,5,smooth,smooth
309,5,smooth,smooth
310,5,smooth,smooth
311,5,smooth,smooth
312,5,rough,smooth
313,5,rough,smooth
314,5,smooth,smooth
315,5,rough,rough
316,5,rough,rough
317,5,rough,rough
318,5,smooth,rough
319,5,rough,rough
320,5,smooth,rough
321,5,smooth,rough
322,5,smooth,rough
323,5,smooth,rough
324,5,rough,rough
325,5,rough,rough
326,5,smooth,rough
327,5,smooth,rough
328,5,smooth,rough
329,5,smooth,rough
330,5,rough,rough
331,5,rough,rough
332,5,smooth,smooth
333,5,smooth,smooth
334,5,smooth,smooth
335,5,smooth,smooth
336,5,smooth,smooth
337,5,smooth,smooth
338,5,smooth,smooth
339,5,smooth,smooth
340,5,smooth,smooth
341,5,smooth,smooth
342,5,rough,smooth
343,5,smooth,smooth
344,5,smooth,smooth
345,5,smooth,smooth
346,5,smooth,smooth
347,5,smooth,smooth
348,5,rough,smooth
349,5,smooth,smooth
350,6,rough,rough
351,6,rough,rough
352,6,rough,rough
353,6,rough,rough
354,6,smooth,rough
355,6,rough,rough
356,6,rough,rough
357,6,rough,rough
358,6,rough,rough
359,6,rough,rough
360,6,rough,rough
361,6,rough,rough
362,6,rough,rough
363,6,rough,rough
364,6,rough,rough
365,6,rough,rough
366,6,rough,rough
367,6,rough,rough
368,6,smooth,smooth
369,6,smooth,smooth
370,6,rough,smooth
371,6,smooth,smooth
372,6,smooth,smooth
373,6,smooth,smooth
374,6,smooth,smooth
375,6,rough,smooth
376,6,smooth,smooth
377,6,smooth,smooth
378,6,smooth,smooth
379,6,smooth,smooth
380,6,smooth,smooth
381,6,smooth,smooth
382,6,smooth,smooth
383,6,rough,smooth
