,run_no,predict,valid
0,1,rough,smooth
1,1,rough,rough
2,1,rough,rough
3,1,rough,rough
4,1,rough,smooth
5,1,smooth,smooth
6,1,rough,smooth
7,1,rough,smooth
8,1,rough,rough
9,1,rough,rough
10,1,smooth,water
11,1,rough,rough
12,1,rough,rough
13,1,smooth,water
14,1,rough,smooth
15,1,smooth,water
16,1,rough,rough
17,1,smooth,smooth
18,1,smooth,smooth
19,1,rough,rough
20,1,rough,rough
21,1,smooth,smooth
22,1,smooth,smooth
23,1,rough,rough
24,1,rough,rough
25,1,smooth,water
26,1,smooth,smooth
27,1,rough,rough
28,1,rough,rough
29,1,smooth,smooth
30,1,smooth,smooth
31,1,smooth,rough
32,1,smooth,smooth
33,1,smooth,smooth
34,1,rough,rough
35,1,smooth,smooth
36,1,smooth,smooth
37,1,smooth,smooth
38,1,smooth,smooth
39,1,rough,smooth
40,1,smooth,water
41,1,rough,smooth
42,1,rough,rough
43,1,rough,smooth
44,1,rough,rough
45,1,smooth,smooth
46,1,smooth,smooth
47,1,smooth,smooth
48,1,smooth,smooth
49,1,smooth,smooth
50,1,smooth,smooth
51,1,rough,rough
52,1,rough,rough
53,1,smooth,smooth
54,1,rough,rough
55,1,rough,rough
56,1,smooth,smooth
57,1,smooth,water
58,1,smooth,water
59,1,smooth,smooth
60,1,smooth,rough
61,1,smooth,rough
62,1,smooth,smooth
63,1,smooth,rough
64,1,rough,rough
65,1,smooth,smooth
66,1,smooth,smooth
67,1,smooth,smooth
68,1,rough,rough
69,1,smooth,smooth
70,1,rough,rough
71,1,rough,smooth
72,1,rough,smooth
73,1,rough,rough
74,1,smooth,rough
75,1,smooth,water
76,1,rough,smooth
77,1,smooth,water
78,1,smooth,smooth
79,1,rough,rough
80,1,smooth,smooth
81,1,rough,rough
82,1,smooth,smooth
83,1,rough,rough
84,1,smooth,smooth
85,1,rough,rough
86,1,smooth,rough
87,1,smooth,smooth
88,1,rough,rough
89,1,rough,rough
90,1,rough,rough
91,1,rough,smooth
92,1,smooth,smooth
93,1,smooth,smooth
94,1,rough,rough
95,1,smooth,smooth
96,1,rough,smooth
97,1,rough,rough
98,1,rough,smooth
99,1,rough,smooth
100,1,rough,water
101,1,smooth,smooth
102,1,smooth,smooth
103,1,rough,rough
104,1,smooth,smooth
105,1,smooth,smooth
106,1,smooth,smooth
107,1,rough,rough
108,1,smooth,smooth
109,1,rough,rough
110,1,smooth,rough
111,1,smooth,smooth
112,1,smooth,rough
113,1,rough,rough
114,1,smooth,smooth
115,1,smooth,smooth
116,1,smooth,smooth
117,1,smooth,rough
118,1,smooth,smooth
119,1,smooth,water
120,1,smooth,smooth
121,1,smooth,smooth
122,1,rough,smooth
123,1,smooth,smooth
124,1,smooth,rough
125,1,rough,water
126,1,smooth,rough
127,1,smooth,smooth
