,run_no,predict,valid
0,1,smooth,smooth
1,1,smooth,smooth
2,1,rough,rough
3,1,rough,rough
4,1,rough,smooth
5,1,smooth,smooth
6,1,smooth,smooth
7,1,smooth,smooth
8,1,smooth,smooth
9,1,rough,rough
10,1,rough,smooth
11,1,rough,smooth
12,1,smooth,smooth
13,1,rough,rough
14,1,smooth,smooth
15,1,rough,rough
16,1,smooth,smooth
17,1,rough,rough
18,1,rough,rough
19,1,smooth,rough
20,1,smooth,smooth
21,1,rough,rough
22,1,smooth,rough
23,1,smooth,rough
24,1,smooth,smooth
25,1,rough,rough
26,1,smooth,smooth
27,1,rough,rough
28,1,smooth,smooth
29,1,rough,rough
30,1,rough,rough
31,1,rough,rough
32,1,rough,smooth
33,1,rough,smooth
34,1,smooth,smooth
35,1,smooth,smooth
36,1,smooth,rough
37,1,rough,rough
38,1,smooth,smooth
39,1,smooth,smooth
40,1,smooth,smooth
41,1,rough,rough
42,1,rough,rough
43,1,rough,rough
44,1,rough,rough
45,1,smooth,smooth
46,1,smooth,rough
47,2,smooth,smooth
48,2,rough,rough
49,2,rough,rough
50,2,smooth,smooth
51,2,smooth,smooth
52,2,rough,rough
53,2,smooth,smooth
54,2,smooth,smooth
55,2,rough,rough
56,2,smooth,smooth
57,2,rough,rough
58,2,smooth,smooth
59,2,rough,rough
60,2,rough,rough
61,2,rough,rough
62,2,smooth,smooth
63,2,rough,rough
64,2,rough,smooth
65,2,rough,rough
66,2,smooth,smooth
67,2,smooth,smooth
68,2,rough,rough
69,2,smooth,smooth
70,2,smooth,smooth
71,2,rough,rough
72,2,smooth,rough
73,2,rough,rough
74,2,smooth,smooth
75,2,smooth,smooth
76,2,rough,smooth
77,2,rough,smooth
78,2,rough,rough
79,2,smooth,smooth
80,2,rough,smooth
81,2,rough,rough
82,2,rough,rough
83,2,smooth,smooth
84,2,rough,rough
85,2,rough,smooth
86,2,rough,rough
87,2,rough,rough
88,2,rough,rough
89,2,rough,rough
90,2,rough,rough
91,2,rough,rough
92,2,rough,rough
93,2,rough,rough
94,3,rough,smooth
95,3,smooth,smooth
96,3,smooth,smooth
97,3,rough,rough
98,3,smooth,smooth
99,3,rough,rough
100,3,rough,rough
101,3,smooth,smooth
102,3,smooth,smooth
103,3,rough,rough
104,3,smooth,smooth
105,3,rough,rough
106,3,smooth,smooth
107,3,rough,rough
108,3,smooth,smooth
109,3,rough,rough
110,3,smooth,smooth
111,3,rough,rough
112,3,rough,rough
113,3,smooth,smooth
114,3,rough,rough
115,3,rough,rough
116,3,smooth,smooth
117,3,smooth,smooth
118,3,rough,rough
119,3,smooth,smooth
120,3,rough,rough
121,3,rough,rough
122,3,smooth,smooth
123,3,smooth,rough
124,3,rough,rough
125,3,rough,rough
126,3,rough,rough
127,3,rough,rough
128,3,smooth,smooth
129,3,rough,rough
130,3,smooth,smooth
131,3,rough,rough
132,3,smooth,smooth
133,3,smooth,smooth
134,3,rough,rough
135,3,smooth,smooth
136,3,smooth,smooth
137,3,rough,rough
138,3,rough,rough
139,3,rough,rough
140,3,smooth,smooth
141,4,rough,rough
142,4,smooth,smooth
143,4,rough,rough
144,4,smooth,smooth
145,4,smooth,smooth
146,4,smooth,smooth
147,4,rough,rough
148,4,smooth,smooth
149,4,smooth,smooth
150,4,smooth,smooth
151,4,rough,rough
152,4,rough,rough
153,4,smooth,smooth
154,4,rough,rough
155,4,rough,rough
156,4,smooth,smooth
157,4,smooth,smooth
158,4,smooth,smooth
159,4,smooth,rough
160,4,smooth,smooth
161,4,rough,rough
162,4,smooth,smooth
163,4,smooth,smooth
164,4,rough,smooth
165,4,smooth,smooth
166,4,smooth,smooth
167,4,rough,rough
168,4,smooth,smooth
169,4,smooth,smooth
170,4,rough,rough
171,4,smooth,smooth
172,4,rough,rough
173,4,smooth,smooth
174,4,smooth,rough
175,4,rough,rough
176,4,rough,rough
177,4,smooth,smooth
178,4,rough,rough
179,4,smooth,smooth
180,4,rough,rough
181,4,smooth,smooth
182,4,smooth,smooth
183,4,rough,rough
184,4,smooth,smooth
185,4,smooth,smooth
186,4,smooth,smooth
187,4,smooth,smooth
188,5,rough,smooth
189,5,smooth,smooth
190,5,rough,rough
191,5,rough,rough
192,5,smooth,smooth
193,5,smooth,smooth
194,5,rough,rough
195,5,rough,rough
196,5,smooth,smooth
197,5,smooth,smooth
198,5,smooth,smooth
199,5,rough,rough
200,5,smooth,smooth
201,5,rough,rough
202,5,smooth,rough
203,5,rough,rough
204,5,rough,rough
205,5,smooth,smooth
206,5,smooth,smooth
207,5,smooth,rough
208,5,smooth,smooth
209,5,rough,smooth
210,5,rough,rough
211,5,smooth,smooth
212,5,rough,rough
213,5,rough,rough
214,5,smooth,smooth
215,5,rough,smooth
216,5,smooth,smooth
217,5,smooth,smooth
218,5,rough,rough
219,5,rough,rough
220,5,rough,rough
221,5,smooth,smooth
222,5,smooth,smooth
223,5,rough,rough
224,5,rough,smooth
225,5,smooth,smooth
226,5,rough,rough
227,5,smooth,smooth
228,5,smooth,smooth
229,5,rough,rough
230,5,smooth,smooth
231,5,rough,smooth
232,5,smooth,smooth
233,5,rough,rough
234,5,rough,rough
235,6,rough,rough
236,6,smooth,smooth
237,6,rough,rough
238,6,rough,rough
239,6,rough,rough
240,6,smooth,smooth
241,6,rough,rough
242,6,rough,rough
243,6,rough,rough
244,6,rough,rough
245,6,rough,smooth
246,6,rough,rough
247,6,smooth,smooth
248,6,rough,rough
249,6,rough,rough
250,6,smooth,smooth
251,6,smooth,smooth
252,6,smooth,smooth
253,6,rough,rough
254,6,smooth,smooth
255,6,smooth,smooth
256,6,rough,rough
257,6,smooth,smooth
258,6,smooth,smooth
259,6,rough,rough
260,6,rough,rough
261,6,rough,rough
262,6,rough,rough
263,6,smooth,rough
264,6,rough,rough
265,6,rough,rough
266,6,rough,rough
267,6,smooth,smooth
268,6,smooth,smooth
269,6,smooth,smooth
270,6,smooth,smooth
271,6,rough,rough
272,6,smooth,smooth
273,6,rough,rough
274,6,rough,rough
275,6,rough,rough
276,6,smooth,smooth
277,6,rough,smooth
278,6,rough,rough
279,6,smooth,smooth
280,6,smooth,smooth
281,6,smooth,smooth
282,7,smooth,smooth
283,7,smooth,smooth
284,7,rough,rough
285,7,smooth,smooth
286,7,smooth,smooth
287,7,rough,rough
288,7,smooth,smooth
289,7,rough,rough
290,7,smooth,smooth
291,7,rough,rough
292,7,smooth,smooth
293,7,smooth,smooth
294,7,rough,rough
295,7,rough,rough
296,7,rough,rough
297,7,rough,rough
298,7,smooth,smooth
299,7,rough,rough
300,7,smooth,smooth
301,7,rough,rough
302,7,rough,rough
303,7,smooth,smooth
304,7,rough,rough
305,7,rough,rough
306,7,smooth,smooth
307,7,smooth,smooth
308,7,rough,rough
309,7,smooth,smooth
310,7,smooth,smooth
311,7,rough,rough
312,7,smooth,rough
313,7,rough,rough
314,7,smooth,smooth
315,7,smooth,smooth
316,7,smooth,smooth
317,7,rough,rough
318,7,rough,smooth
319,7,rough,rough
320,7,rough,rough
321,7,rough,rough
322,7,rough,rough
323,7,rough,rough
324,7,rough,rough
325,7,rough,smooth
326,7,smooth,smooth
327,7,rough,rough
328,7,rough,rough
329,8,smooth,rough
330,8,rough,rough
331,8,smooth,smooth
332,8,rough,rough
333,8,rough,rough
334,8,rough,rough
335,8,smooth,smooth
336,8,smooth,rough
337,8,smooth,smooth
338,8,rough,rough
339,8,smooth,smooth
340,8,smooth,smooth
341,8,rough,rough
342,8,rough,rough
343,8,smooth,smooth
344,8,smooth,smooth
345,8,smooth,rough
346,8,smooth,smooth
347,8,rough,rough
348,8,rough,rough
349,8,smooth,smooth
350,8,rough,rough
351,8,rough,smooth
352,8,smooth,smooth
353,8,smooth,smooth
354,8,rough,rough
355,8,rough,rough
356,8,rough,rough
357,8,rough,rough
358,8,smooth,smooth
359,8,smooth,smooth
360,8,smooth,smooth
361,8,smooth,smooth
362,8,rough,rough
363,8,rough,rough
364,8,smooth,smooth
365,8,smooth,smooth
366,8,smooth,smooth
367,8,smooth,smooth
368,8,rough,rough
369,8,smooth,smooth
370,8,smooth,smooth
371,8,smooth,smooth
372,8,rough,rough
373,8,rough,rough
374,8,smooth,smooth
375,8,smooth,smooth
376,9,smooth,smooth
377,9,rough,rough
378,9,rough,smooth
379,9,rough,rough
380,9,rough,rough
381,9,smooth,rough
382,9,smooth,rough
383,9,smooth,smooth
384,9,rough,smooth
385,9,smooth,rough
386,9,smooth,smooth
387,9,rough,rough
388,9,smooth,smooth
389,9,smooth,smooth
390,9,smooth,smooth
391,9,rough,rough
392,9,smooth,smooth
393,9,rough,rough
394,9,rough,rough
395,9,smooth,smooth
396,9,rough,rough
397,9,rough,rough
398,9,smooth,smooth
399,9,smooth,smooth
400,9,rough,rough
401,9,smooth,smooth
402,9,rough,rough
403,9,rough,rough
404,9,smooth,smooth
405,9,smooth,smooth
406,9,smooth,smooth
407,9,smooth,smooth
408,9,smooth,smooth
409,9,smooth,smooth
410,9,rough,rough
411,9,rough,rough
412,9,rough,rough
413,9,rough,rough
414,9,rough,smooth
415,9,rough,rough
416,9,smooth,rough
417,9,smooth,smooth
418,9,rough,rough
419,9,smooth,smooth
420,9,smooth,smooth
421,9,rough,rough
422,9,smooth,smooth
423,10,rough,rough
424,10,rough,rough
425,10,smooth,smooth
426,10,smooth,smooth
427,10,rough,rough
428,10,smooth,smooth
429,10,smooth,smooth
430,10,rough,rough
431,10,rough,smooth
432,10,rough,rough
433,10,rough,rough
434,10,smooth,smooth
435,10,rough,rough
436,10,smooth,smooth
437,10,rough,rough
438,10,smooth,smooth
439,10,smooth,smooth
440,10,rough,smooth
441,10,smooth,smooth
442,10,rough,rough
443,10,rough,smooth
444,10,smooth,smooth
445,10,smooth,smooth
446,10,smooth,smooth
447,10,rough,rough
448,10,rough,rough
449,10,smooth,smooth
450,10,rough,rough
451,10,rough,rough
452,10,rough,smooth
453,10,rough,rough
454,10,rough,smooth
455,10,rough,rough
456,10,rough,rough
457,10,smooth,smooth
458,10,rough,rough
459,10,smooth,smooth
460,10,rough,rough
461,10,rough,rough
462,10,smooth,smooth
463,10,smooth,smooth
464,10,smooth,smooth
465,10,rough,rough
466,10,rough,rough
467,10,smooth,smooth
468,10,smooth,smooth
469,10,rough,rough
470,11,smooth,smooth
471,11,smooth,smooth
472,11,smooth,smooth
473,11,smooth,smooth
474,11,rough,rough
475,11,smooth,smooth
476,11,smooth,smooth
477,11,smooth,smooth
478,11,rough,rough
479,11,rough,rough
480,11,smooth,smooth
481,11,rough,rough
482,11,rough,rough
483,11,smooth,smooth
484,11,smooth,smooth
485,11,rough,rough
486,11,rough,rough
487,11,smooth,smooth
488,11,rough,smooth
489,11,smooth,smooth
490,11,rough,rough
491,11,smooth,smooth
492,11,smooth,smooth
493,11,smooth,rough
494,11,rough,rough
495,11,rough,rough
496,11,rough,rough
497,11,rough,rough
498,11,smooth,smooth
499,11,rough,rough
500,11,smooth,smooth
501,11,smooth,rough
502,11,smooth,smooth
503,11,rough,rough
504,11,smooth,smooth
505,11,rough,rough
506,11,smooth,smooth
507,11,smooth,smooth
508,11,smooth,smooth
509,11,smooth,rough
510,11,smooth,smooth
511,11,rough,rough
512,11,smooth,smooth
513,11,smooth,smooth
514,11,rough,rough
515,11,smooth,rough
516,11,rough,rough
517,12,rough,rough
518,12,smooth,smooth
519,12,rough,smooth
520,12,rough,rough
521,12,smooth,smooth
522,12,smooth,smooth
523,12,rough,rough
524,12,smooth,smooth
525,12,smooth,smooth
526,12,rough,rough
527,12,rough,rough
528,12,rough,rough
529,12,smooth,smooth
530,12,smooth,smooth
531,12,smooth,smooth
532,12,rough,smooth
533,12,rough,rough
534,12,smooth,smooth
535,12,rough,rough
536,12,smooth,rough
537,12,rough,rough
538,12,rough,rough
539,12,smooth,smooth
540,12,smooth,smooth
541,12,rough,smooth
542,12,smooth,rough
543,12,smooth,smooth
544,12,rough,rough
545,12,smooth,smooth
546,12,smooth,smooth
547,12,rough,rough
548,12,smooth,smooth
549,12,smooth,smooth
550,12,smooth,smooth
551,12,rough,rough
552,12,smooth,smooth
553,12,smooth,smooth
554,12,smooth,smooth
555,12,rough,rough
556,12,smooth,smooth
557,12,rough,rough
558,12,smooth,smooth
559,12,smooth,smooth
560,12,smooth,smooth
561,12,rough,rough
562,12,smooth,smooth
563,12,rough,rough
564,13,rough,rough
565,13,smooth,smooth
566,13,smooth,smooth
567,13,smooth,smooth
568,13,rough,rough
569,13,smooth,smooth
570,13,smooth,smooth
571,13,rough,rough
572,13,rough,rough
573,13,smooth,smooth
574,13,rough,rough
575,13,rough,smooth
576,13,smooth,smooth
577,13,rough,smooth
578,13,smooth,smooth
579,13,rough,smooth
580,13,rough,rough
581,13,smooth,smooth
582,13,rough,rough
583,13,rough,rough
584,13,rough,rough
585,13,smooth,smooth
586,13,rough,rough
587,13,rough,rough
588,13,rough,rough
589,13,rough,smooth
590,13,smooth,smooth
591,13,smooth,smooth
592,13,rough,rough
593,13,smooth,rough
594,13,rough,rough
595,13,smooth,smooth
596,13,rough,rough
597,13,smooth,smooth
598,13,smooth,smooth
599,13,smooth,smooth
600,13,smooth,smooth
601,13,rough,rough
602,13,smooth,smooth
603,13,rough,rough
604,13,smooth,smooth
605,13,rough,rough
606,13,rough,smooth
607,13,rough,rough
608,13,rough,smooth
609,13,rough,rough
610,13,rough,rough
611,14,smooth,smooth
612,14,rough,rough
613,14,smooth,smooth
614,14,smooth,smooth
615,14,rough,rough
616,14,smooth,smooth
617,14,rough,rough
618,14,rough,smooth
619,14,rough,rough
620,14,rough,rough
621,14,smooth,smooth
622,14,rough,rough
623,14,rough,smooth
624,14,rough,rough
625,14,smooth,smooth
626,14,rough,rough
627,14,smooth,smooth
628,14,rough,rough
629,14,rough,rough
630,14,smooth,smooth
631,14,rough,smooth
632,14,rough,rough
633,14,rough,smooth
634,14,rough,rough
635,14,smooth,smooth
636,14,smooth,smooth
637,14,rough,rough
638,14,smooth,smooth
639,14,smooth,smooth
640,14,rough,rough
641,14,smooth,smooth
642,14,smooth,smooth
643,14,rough,rough
644,14,rough,smooth
645,14,rough,rough
646,14,rough,rough
647,14,rough,smooth
648,14,smooth,smooth
649,14,rough,rough
650,14,smooth,smooth
651,14,smooth,smooth
652,14,smooth,rough
653,14,rough,rough
654,14,rough,rough
655,14,rough,rough
656,14,rough,rough
657,14,rough,rough
658,15,rough,rough
659,15,smooth,smooth
660,15,rough,rough
661,15,smooth,smooth
662,15,smooth,rough
663,15,rough,rough
664,15,rough,rough
665,15,rough,rough
666,15,rough,rough
667,15,rough,rough
668,15,smooth,smooth
669,15,smooth,smooth
670,15,smooth,smooth
671,15,smooth,smooth
672,15,rough,rough
673,15,rough,rough
674,15,smooth,smooth
675,15,smooth,rough
676,15,smooth,smooth
677,15,smooth,smooth
678,15,smooth,smooth
679,15,rough,rough
680,15,rough,rough
681,15,rough,smooth
682,15,smooth,smooth
683,15,smooth,smooth
684,15,smooth,smooth
685,15,smooth,smooth
686,15,smooth,smooth
687,15,rough,rough
688,15,smooth,smooth
689,15,smooth,smooth
690,15,rough,rough
691,15,rough,smooth
692,15,smooth,smooth
693,15,smooth,smooth
694,15,rough,rough
695,15,rough,rough
696,15,smooth,smooth
697,15,rough,rough
698,15,smooth,smooth
699,15,smooth,rough
700,15,rough,rough
701,15,rough,rough
702,15,rough,rough
703,15,rough,rough
704,15,rough,smooth
705,16,smooth,smooth
706,16,smooth,rough
707,16,smooth,smooth
708,16,rough,rough
709,16,rough,rough
710,16,rough,rough
711,16,rough,rough
712,16,rough,rough
713,16,smooth,smooth
