,run_no,predict,valid
0,1,mixed,smooth
1,1,smooth,smooth
2,1,smooth,water
3,1,rough,mixed
4,1,rough,rough
5,1,mixed,mixed
6,1,rough,rough
7,1,rough,smooth
8,1,mixed,rough
9,1,mixed,smooth
10,1,mixed,mixed
11,1,rough,mixed
12,1,rough,smooth
13,1,rough,mixed
14,1,smooth,smooth
15,1,mixed,smooth
16,1,smooth,mixed
17,1,rough,mixed
18,1,mixed,mixed
19,1,mixed,rough
20,1,smooth,smooth
21,1,rough,smooth
22,1,smooth,mixed
23,1,smooth,mixed
24,1,smooth,smooth
25,1,mixed,smooth
26,1,rough,rough
27,1,smooth,smooth
28,1,smooth,smooth
29,1,smooth,mixed
30,1,rough,rough
31,1,rough,smooth
32,1,smooth,mixed
33,1,mixed,smooth
34,1,smooth,smooth
35,1,mixed,smooth
36,1,smooth,smooth
37,1,smooth,smooth
38,1,smooth,mixed
39,1,smooth,smooth
40,1,rough,smooth
41,1,mixed,mixed
42,1,smooth,smooth
43,1,smooth,smooth
44,1,rough,mixed
45,1,rough,mixed
46,1,mixed,rough
47,1,water,mixed
48,1,mixed,rough
49,1,smooth,smooth
50,1,rough,smooth
51,1,mixed,mixed
52,1,smooth,mixed
53,1,smooth,smooth
54,1,rough,mixed
55,1,mixed,mixed
56,1,mixed,mixed
57,1,rough,rough
58,1,mixed,smooth
59,1,mixed,rough
60,1,mixed,mixed
61,1,rough,rough
62,1,smooth,smooth
63,1,smooth,smooth
64,1,smooth,water
65,1,rough,smooth
66,1,mixed,mixed
67,1,smooth,mixed
68,1,mixed,mixed
69,1,rough,smooth
70,1,rough,mixed
71,1,mixed,smooth
72,1,rough,smooth
73,1,smooth,smooth
74,1,mixed,rough
75,1,smooth,mixed
76,1,mixed,smooth
77,1,mixed,mixed
78,1,rough,rough
79,1,smooth,mixed
80,1,rough,mixed
81,1,rough,mixed
82,1,smooth,water
83,1,mixed,rough
84,1,smooth,smooth
85,1,mixed,rough
86,1,rough,rough
87,1,smooth,smooth
88,1,rough,mixed
89,1,rough,smooth
90,1,smooth,smooth
91,1,mixed,rough
92,1,mixed,mixed
93,1,smooth,mixed
94,1,rough,smooth
95,1,smooth,smooth
96,1,rough,smooth
97,1,smooth,mixed
98,1,smooth,mixed
99,1,rough,mixed
100,1,mixed,smooth
101,1,rough,rough
102,1,rough,smooth
103,1,smooth,rough
104,1,rough,rough
105,1,mixed,mixed
106,1,smooth,smooth
107,1,rough,mixed
108,1,mixed,smooth
109,1,smooth,smooth
110,1,rough,mixed
111,1,mixed,mixed
112,1,mixed,mixed
113,1,smooth,smooth
114,1,rough,rough
115,1,rough,rough
116,1,smooth,rough
117,1,mixed,rough
118,1,smooth,smooth
119,1,mixed,mixed
120,1,rough,smooth
121,1,smooth,water
122,1,mixed,water
123,1,smooth,mixed
124,1,mixed,smooth
125,1,rough,rough
126,1,mixed,smooth
127,1,smooth,rough
128,1,rough,smooth
129,1,mixed,smooth
130,1,smooth,mixed
131,1,rough,smooth
132,1,rough,rough
133,1,mixed,mixed
134,1,smooth,mixed
135,1,mixed,smooth
136,1,rough,rough
137,1,rough,mixed
138,1,mixed,mixed
139,1,smooth,smooth
140,1,mixed,water
141,1,rough,mixed
142,1,smooth,water
143,1,smooth,smooth
144,1,mixed,smooth
145,1,rough,rough
146,1,smooth,smooth
147,1,smooth,mixed
148,1,rough,water
149,1,smooth,smooth
150,1,rough,rough
151,1,rough,smooth
152,1,mixed,smooth
153,1,mixed,smooth
154,1,rough,smooth
155,1,mixed,mixed
156,1,rough,rough
157,1,mixed,mixed
158,1,mixed,rough
159,1,mixed,smooth
160,1,mixed,mixed
161,1,smooth,smooth
162,1,mixed,rough
163,1,mixed,rough
164,1,mixed,mixed
165,1,mixed,mixed
166,1,mixed,smooth
167,1,rough,mixed
168,1,rough,mixed
169,1,rough,rough
170,1,rough,water
171,1,smooth,smooth
172,1,mixed,smooth
173,1,smooth,rough
174,1,smooth,smooth
175,1,mixed,mixed
176,1,rough,mixed
177,1,mixed,mixed
178,1,mixed,smooth
179,1,rough,mixed
180,1,smooth,mixed
181,1,rough,rough
182,1,smooth,rough
183,1,rough,smooth
184,1,smooth,mixed
185,1,rough,mixed
186,1,smooth,water
187,1,mixed,rough
188,1,smooth,smooth
189,1,rough,rough
190,1,mixed,smooth
191,1,smooth,mixed
192,1,rough,rough
193,1,mixed,water
194,1,mixed,rough
195,1,rough,rough
196,1,smooth,smooth
197,1,rough,smooth
198,1,smooth,smooth
199,1,smooth,smooth
200,1,mixed,mixed
201,1,smooth,smooth
202,1,mixed,rough
203,1,smooth,smooth
204,1,mixed,rough
205,1,mixed,smooth
206,1,smooth,smooth
207,1,smooth,rough
208,1,mixed,rough
209,1,smooth,rough
210,1,smooth,mixed
211,1,smooth,rough
212,1,smooth,smooth
213,1,smooth,smooth
214,1,smooth,smooth
215,1,smooth,smooth
216,1,mixed,mixed
217,1,mixed,rough
218,1,rough,rough
219,1,smooth,smooth
220,1,mixed,mixed
221,1,smooth,mixed
222,1,mixed,smooth
223,1,smooth,smooth
224,1,mixed,smooth
225,1,rough,rough
226,1,smooth,smooth
227,1,mixed,mixed
228,1,rough,rough
229,1,rough,mixed
230,1,mixed,mixed
231,1,smooth,rough
232,1,smooth,smooth
233,1,rough,smooth
234,1,rough,smooth
235,1,smooth,smooth
236,1,rough,rough
237,1,rough,smooth
238,1,rough,rough
239,1,mixed,rough
240,1,mixed,smooth
241,1,smooth,mixed
242,1,mixed,mixed
243,1,mixed,smooth
244,1,mixed,smooth
245,1,rough,mixed
246,1,smooth,smooth
247,1,smooth,smooth
248,1,mixed,smooth
249,1,mixed,rough
250,1,mixed,mixed
251,1,smooth,water
252,1,smooth,smooth
253,1,rough,rough
254,1,smooth,rough
255,1,mixed,mixed
256,1,mixed,water
257,1,smooth,smooth
258,1,smooth,smooth
259,1,smooth,water
260,2,smooth,rough
261,2,smooth,mixed
262,2,rough,water
263,2,rough,rough
264,2,rough,rough
265,2,mixed,rough
266,2,rough,mixed
267,2,mixed,mixed
268,2,smooth,mixed
269,2,mixed,mixed
270,2,mixed,rough
271,2,smooth,smooth
272,2,mixed,rough
273,2,rough,mixed
274,2,rough,rough
275,2,smooth,rough
276,2,smooth,water
277,2,smooth,smooth
278,2,smooth,smooth
279,2,smooth,mixed
280,2,mixed,mixed
281,2,mixed,rough
282,2,smooth,smooth
283,2,mixed,mixed
284,2,smooth,mixed
285,2,smooth,water
286,2,smooth,smooth
287,2,rough,mixed
288,2,smooth,smooth
289,2,smooth,rough
290,2,mixed,rough
291,2,smooth,smooth
292,2,smooth,mixed
293,2,smooth,mixed
294,2,smooth,mixed
295,2,mixed,rough
296,2,smooth,smooth
297,2,rough,rough
298,2,smooth,smooth
299,2,rough,smooth
300,2,mixed,mixed
301,2,smooth,smooth
302,2,mixed,water
303,2,mixed,smooth
304,2,rough,smooth
305,2,mixed,mixed
306,2,smooth,smooth
307,2,mixed,rough
308,2,mixed,mixed
309,2,mixed,mixed
310,2,smooth,smooth
311,2,rough,rough
312,2,smooth,mixed
313,2,rough,rough
314,2,smooth,smooth
315,2,mixed,mixed
316,2,rough,mixed
317,2,mixed,rough
318,2,rough,rough
319,2,mixed,mixed
320,2,smooth,smooth
321,2,rough,rough
322,2,smooth,smooth
323,2,rough,mixed
324,2,mixed,rough
325,2,smooth,rough
326,2,rough,rough
327,2,rough,mixed
328,2,rough,smooth
329,2,rough,smooth
330,2,smooth,rough
331,2,smooth,mixed
332,2,smooth,smooth
333,2,smooth,smooth
334,2,smooth,mixed
335,2,rough,rough
336,2,mixed,rough
337,2,smooth,mixed
338,2,smooth,smooth
339,2,mixed,rough
340,2,rough,smooth
341,2,smooth,rough
342,2,mixed,smooth
343,2,smooth,mixed
344,2,rough,smooth
345,2,mixed,rough
346,2,smooth,smooth
347,2,mixed,smooth
348,2,smooth,rough
349,2,smooth,water
350,2,rough,rough
351,2,mixed,smooth
352,2,smooth,smooth
353,2,smooth,smooth
354,2,rough,rough
355,2,rough,smooth
356,2,rough,rough
357,2,smooth,smooth
358,2,rough,rough
359,2,rough,rough
360,2,rough,mixed
361,2,mixed,smooth
362,2,mixed,rough
363,2,smooth,smooth
364,2,rough,rough
365,2,smooth,smooth
366,2,rough,mixed
367,2,mixed,rough
368,2,mixed,mixed
369,2,rough,mixed
370,2,smooth,smooth
371,2,rough,rough
372,2,rough,rough
373,2,smooth,mixed
374,2,mixed,water
375,2,mixed,smooth
376,2,mixed,mixed
377,2,smooth,smooth
378,2,smooth,smooth
379,2,smooth,smooth
380,2,rough,mixed
381,2,mixed,smooth
382,2,smooth,smooth
383,2,smooth,mixed
384,2,smooth,mixed
385,2,mixed,mixed
386,2,smooth,rough
387,2,smooth,mixed
388,2,smooth,mixed
389,2,mixed,water
390,2,rough,mixed
391,2,mixed,rough
392,2,rough,mixed
393,2,smooth,smooth
394,2,smooth,smooth
395,2,smooth,water
396,2,smooth,smooth
397,2,smooth,water
398,2,rough,smooth
399,2,rough,rough
400,2,rough,rough
401,2,mixed,smooth
402,2,rough,rough
403,2,mixed,mixed
404,2,smooth,smooth
405,2,rough,smooth
406,2,rough,rough
407,2,mixed,mixed
408,2,smooth,mixed
409,2,mixed,smooth
410,2,smooth,water
411,2,smooth,rough
412,2,mixed,mixed
413,2,rough,smooth
414,2,rough,smooth
415,2,smooth,smooth
416,2,smooth,mixed
417,2,smooth,smooth
418,2,smooth,smooth
419,2,mixed,smooth
420,2,mixed,rough
421,2,rough,smooth
422,2,smooth,smooth
423,2,smooth,smooth
424,2,smooth,smooth
425,2,rough,rough
426,2,mixed,mixed
427,2,smooth,smooth
428,2,rough,mixed
429,2,smooth,smooth
430,2,smooth,mixed
431,2,smooth,rough
432,2,smooth,water
433,2,rough,mixed
434,2,rough,mixed
435,2,rough,mixed
436,2,rough,mixed
437,2,rough,mixed
438,2,smooth,mixed
439,2,smooth,smooth
440,2,smooth,smooth
441,2,smooth,smooth
442,2,smooth,smooth
443,2,mixed,mixed
444,2,rough,rough
445,2,smooth,mixed
446,2,mixed,smooth
447,2,smooth,mixed
448,2,rough,mixed
449,2,smooth,smooth
450,2,smooth,smooth
451,2,rough,rough
452,2,smooth,mixed
453,2,mixed,smooth
454,2,smooth,rough
455,2,rough,smooth
456,2,smooth,smooth
457,2,mixed,smooth
458,2,mixed,mixed
459,2,rough,smooth
460,2,mixed,rough
461,2,smooth,smooth
462,2,rough,smooth
463,2,smooth,water
464,2,smooth,mixed
465,2,smooth,smooth
466,2,mixed,smooth
467,2,smooth,mixed
468,2,mixed,mixed
469,2,mixed,smooth
470,2,smooth,mixed
471,2,mixed,smooth
472,2,mixed,rough
473,2,rough,smooth
474,2,rough,mixed
475,2,mixed,smooth
476,2,mixed,smooth
477,2,mixed,mixed
478,2,smooth,smooth
479,2,rough,mixed
480,2,mixed,mixed
481,2,rough,rough
482,2,smooth,smooth
483,2,smooth,mixed
484,2,mixed,rough
485,2,mixed,smooth
486,2,mixed,smooth
487,2,mixed,smooth
488,2,rough,smooth
489,2,mixed,rough
490,2,rough,smooth
491,2,rough,smooth
492,2,smooth,rough
493,2,rough,mixed
494,2,rough,rough
495,2,rough,smooth
496,2,mixed,smooth
497,2,smooth,smooth
498,2,mixed,mixed
499,2,smooth,water
500,2,mixed,rough
501,2,rough,rough
502,2,mixed,mixed
503,2,rough,mixed
504,2,smooth,smooth
505,2,rough,rough
506,2,smooth,rough
507,2,mixed,mixed
508,2,rough,mixed
509,2,rough,rough
510,2,mixed,mixed
511,2,mixed,mixed
512,2,mixed,smooth
513,2,smooth,rough
514,2,mixed,mixed
515,2,mixed,mixed
516,2,smooth,mixed
517,2,smooth,smooth
518,2,rough,rough
519,2,smooth,smooth
520,3,smooth,mixed
521,3,smooth,mixed
522,3,rough,mixed
523,3,smooth,smooth
524,3,mixed,mixed
525,3,mixed,mixed
526,3,smooth,rough
527,3,smooth,mixed
