,run_no,predict,valid
0,1,smooth,smooth
1,1,rough,rough
2,1,smooth,smooth
3,1,smooth,smooth
4,1,rough,smooth
5,1,smooth,smooth
6,1,smooth,rough
7,1,smooth,smooth
8,1,rough,rough
9,1,rough,rough
10,1,rough,rough
11,1,rough,smooth
12,1,smooth,smooth
13,1,rough,rough
14,1,smooth,rough
15,1,smooth,smooth
16,1,smooth,smooth
17,1,rough,rough
18,1,smooth,smooth
19,1,rough,smooth
20,1,smooth,smooth
21,1,smooth,smooth
22,1,rough,rough
23,1,rough,rough
24,1,rough,rough
25,1,smooth,smooth
26,1,smooth,smooth
27,1,smooth,smooth
28,1,rough,smooth
29,1,smooth,smooth
30,1,rough,rough
31,1,rough,rough
32,1,smooth,smooth
33,1,smooth,rough
34,1,rough,smooth
35,1,rough,smooth
36,1,rough,rough
37,1,rough,rough
38,1,smooth,smooth
39,1,rough,smooth
40,1,smooth,rough
41,1,rough,smooth
42,1,rough,rough
43,1,rough,rough
44,1,smooth,rough
45,1,rough,rough
46,1,rough,rough
47,2,smooth,rough
48,2,rough,rough
49,2,smooth,rough
50,2,rough,rough
51,2,smooth,rough
52,2,rough,rough
53,2,rough,rough
54,2,smooth,smooth
55,2,smooth,smooth
56,2,smooth,smooth
57,2,smooth,rough
58,2,rough,smooth
59,2,rough,rough
60,2,smooth,smooth
61,2,rough,rough
62,2,rough,rough
63,2,smooth,smooth
64,2,smooth,smooth
65,2,smooth,rough
66,2,rough,rough
67,2,rough,rough
68,2,rough,rough
69,2,rough,rough
70,2,rough,rough
71,2,smooth,smooth
72,2,smooth,smooth
73,2,rough,smooth
74,2,smooth,smooth
75,2,smooth,smooth
76,2,rough,rough
77,2,smooth,smooth
78,2,smooth,rough
79,2,rough,rough
80,2,rough,rough
81,2,smooth,smooth
82,2,rough,smooth
83,2,rough,smooth
84,2,smooth,smooth
85,2,smooth,smooth
86,2,rough,smooth
87,2,rough,rough
88,2,smooth,smooth
89,2,rough,rough
90,2,smooth,smooth
91,2,smooth,smooth
92,2,rough,smooth
93,2,smooth,rough
