,run_no,predict,valid
0,1,smooth,smooth
1,1,smooth,rough
2,1,rough,rough
3,1,rough,rough
4,1,rough,rough
5,1,smooth,smooth
6,1,smooth,smooth
7,1,smooth,smooth
8,1,rough,rough
9,1,smooth,smooth
10,1,rough,rough
11,1,rough,rough
12,1,smooth,smooth
13,1,smooth,smooth
14,1,smooth,rough
15,1,rough,rough
16,1,smooth,smooth
17,1,rough,smooth
18,1,smooth,smooth
19,1,smooth,smooth
20,1,rough,smooth
21,1,smooth,smooth
22,1,smooth,smooth
23,1,rough,rough
24,1,rough,rough
25,1,smooth,smooth
26,1,rough,rough
27,1,smooth,rough
28,1,smooth,smooth
29,1,rough,rough
30,1,smooth,smooth
31,1,rough,rough
32,1,smooth,smooth
33,1,rough,rough
34,1,rough,smooth
35,1,smooth,smooth
36,1,rough,rough
37,1,smooth,smooth
38,1,rough,smooth
39,1,rough,smooth
40,1,smooth,rough
41,1,smooth,rough
42,1,smooth,smooth
43,1,rough,rough
44,1,rough,rough
45,1,rough,rough
46,1,smooth,smooth
47,1,smooth,smooth
48,2,rough,smooth
49,2,smooth,smooth
50,2,rough,rough
51,2,rough,smooth
52,2,smooth,smooth
53,2,rough,smooth
54,2,smooth,smooth
55,2,rough,rough
56,2,smooth,rough
57,2,smooth,rough
58,2,smooth,smooth
59,2,smooth,smooth
60,2,rough,rough
61,2,rough,smooth
62,2,rough,rough
63,2,rough,rough
64,2,rough,rough
65,2,smooth,smooth
66,2,smooth,smooth
67,2,smooth,smooth
68,2,rough,smooth
69,2,smooth,smooth
70,2,smooth,smooth
71,2,rough,smooth
72,2,rough,smooth
73,2,smooth,rough
74,2,smooth,smooth
75,2,rough,smooth
76,2,rough,rough
77,2,smooth,smooth
78,2,rough,rough
79,2,smooth,smooth
80,2,rough,rough
81,2,rough,rough
82,2,rough,rough
83,2,rough,rough
84,2,rough,rough
85,2,rough,rough
86,2,rough,rough
87,2,rough,smooth
88,2,rough,smooth
89,2,rough,rough
90,2,smooth,smooth
91,2,smooth,smooth
92,2,rough,rough
93,2,rough,rough
94,2,smooth,smooth
95,2,smooth,smooth
96,3,rough,smooth
97,3,rough,smooth
98,3,rough,smooth
99,3,smooth,rough
100,3,rough,rough
101,3,rough,rough
102,3,smooth,smooth
103,3,rough,rough
104,3,smooth,smooth
105,3,rough,rough
106,3,rough,rough
107,3,rough,smooth
108,3,rough,rough
109,3,rough,rough
110,3,smooth,rough
111,3,rough,rough
112,3,smooth,smooth
113,3,smooth,smooth
114,3,smooth,smooth
115,3,smooth,smooth
116,3,smooth,rough
117,3,rough,rough
118,3,rough,rough
119,3,smooth,rough
120,3,rough,rough
121,3,rough,rough
122,3,rough,rough
123,3,rough,smooth
124,3,smooth,smooth
125,3,smooth,rough
126,3,smooth,rough
127,3,rough,rough
128,3,rough,rough
129,3,smooth,smooth
130,3,smooth,rough
131,3,rough,smooth
132,3,rough,rough
133,3,rough,rough
134,3,smooth,rough
135,3,rough,rough
136,3,rough,rough
137,3,smooth,smooth
138,3,rough,smooth
139,3,smooth,smooth
140,3,smooth,rough
141,3,smooth,rough
142,3,smooth,smooth
143,3,smooth,smooth
144,4,rough,rough
145,4,smooth,rough
146,4,rough,rough
147,4,smooth,smooth
148,4,rough,rough
149,4,rough,rough
150,4,smooth,rough
151,4,rough,rough
152,4,rough,rough
153,4,rough,smooth
154,4,smooth,smooth
155,4,rough,rough
156,4,smooth,smooth
157,4,rough,rough
158,4,rough,rough
159,4,rough,smooth
160,4,smooth,smooth
161,4,rough,rough
162,4,rough,rough
163,4,rough,rough
164,4,rough,rough
165,4,rough,smooth
166,4,rough,rough
167,4,rough,rough
168,4,rough,rough
169,4,rough,rough
170,4,smooth,smooth
171,4,smooth,smooth
172,4,smooth,smooth
173,4,smooth,smooth
174,4,smooth,smooth
175,4,smooth,smooth
176,4,smooth,smooth
177,4,rough,rough
178,4,rough,rough
179,4,smooth,smooth
180,4,smooth,rough
181,4,smooth,smooth
182,4,rough,rough
183,4,rough,smooth
184,4,rough,rough
185,4,smooth,smooth
186,4,rough,rough
187,4,smooth,smooth
188,4,smooth,smooth
189,4,rough,rough
190,4,smooth,smooth
191,4,rough,smooth
192,5,rough,rough
193,5,smooth,smooth
194,5,rough,rough
195,5,smooth,rough
196,5,smooth,rough
197,5,smooth,smooth
198,5,rough,smooth
199,5,rough,smooth
200,5,smooth,smooth
201,5,rough,rough
202,5,rough,smooth
203,5,smooth,smooth
204,5,smooth,smooth
205,5,rough,rough
206,5,smooth,smooth
207,5,smooth,smooth
208,5,rough,smooth
209,5,rough,smooth
210,5,smooth,smooth
211,5,smooth,smooth
212,5,smooth,smooth
213,5,rough,rough
214,5,rough,smooth
215,5,smooth,smooth
216,5,rough,smooth
217,5,rough,rough
218,5,rough,rough
219,5,smooth,smooth
220,5,smooth,smooth
221,5,rough,rough
222,5,rough,rough
223,5,rough,rough
224,5,rough,rough
225,5,smooth,rough
226,5,rough,rough
227,5,smooth,rough
228,5,rough,rough
229,5,rough,rough
230,5,rough,smooth
231,5,rough,rough
232,5,rough,smooth
233,5,smooth,smooth
234,5,rough,smooth
235,5,rough,rough
236,5,smooth,rough
237,5,smooth,smooth
238,5,smooth,smooth
239,5,smooth,smooth
240,6,rough,smooth
241,6,rough,rough
242,6,rough,rough
243,6,smooth,smooth
244,6,rough,rough
245,6,rough,rough
246,6,rough,rough
247,6,smooth,smooth
248,6,smooth,rough
249,6,rough,rough
250,6,rough,rough
251,6,smooth,smooth
252,6,rough,rough
253,6,rough,rough
254,6,smooth,smooth
255,6,smooth,smooth
256,6,smooth,rough
257,6,smooth,rough
258,6,smooth,smooth
259,6,smooth,smooth
260,6,rough,smooth
261,6,rough,smooth
262,6,rough,rough
263,6,smooth,smooth
264,6,rough,smooth
265,6,smooth,smooth
266,6,smooth,smooth
267,6,rough,rough
268,6,rough,smooth
269,6,smooth,smooth
270,6,rough,rough
271,6,rough,rough
272,6,smooth,smooth
273,6,smooth,smooth
274,6,smooth,smooth
275,6,smooth,smooth
276,6,smooth,smooth
277,6,smooth,rough
278,6,smooth,smooth
279,6,smooth,rough
280,6,smooth,rough
281,6,smooth,smooth
282,6,rough,rough
283,6,rough,rough
284,6,smooth,smooth
285,6,smooth,smooth
286,6,rough,rough
287,6,rough,rough
288,7,rough,smooth
289,7,rough,rough
290,7,smooth,smooth
291,7,smooth,smooth
292,7,smooth,rough
293,7,smooth,rough
294,7,rough,rough
295,7,rough,rough
296,7,smooth,smooth
297,7,rough,rough
298,7,rough,rough
299,7,smooth,smooth
300,7,smooth,smooth
301,7,rough,rough
302,7,rough,rough
303,7,rough,rough
304,7,rough,rough
305,7,smooth,smooth
306,7,rough,smooth
307,7,rough,rough
308,7,smooth,smooth
309,7,smooth,smooth
310,7,rough,rough
311,7,rough,rough
312,7,smooth,smooth
