,run_no,predict,valid
0,1,smooth,rough
1,1,rough,rough
2,1,smooth,rough
3,1,rough,rough
4,1,smooth,smooth
5,1,rough,rough
6,1,smooth,smooth
7,1,rough,rough
8,1,smooth,smooth
9,1,rough,rough
10,1,smooth,smooth
11,1,smooth,rough
12,1,rough,rough
13,1,smooth,smooth
14,1,rough,rough
15,1,rough,rough
16,1,smooth,smooth
17,1,rough,rough
18,1,smooth,smooth
19,1,smooth,smooth
20,1,smooth,smooth
21,1,smooth,smooth
22,1,rough,rough
23,1,smooth,rough
24,1,rough,smooth
25,1,smooth,rough
26,1,smooth,smooth
27,1,smooth,smooth
28,1,rough,smooth
29,1,smooth,smooth
30,1,smooth,smooth
31,1,rough,rough
32,1,smooth,smooth
33,1,rough,smooth
34,1,rough,rough
35,1,smooth,smooth
36,1,smooth,smooth
37,1,rough,rough
38,1,rough,smooth
39,1,smooth,smooth
40,1,rough,rough
41,1,smooth,smooth
42,1,smooth,rough
43,1,smooth,smooth
44,1,smooth,smooth
45,1,rough,smooth
46,1,smooth,rough
47,1,rough,smooth
48,1,smooth,smooth
49,1,rough,rough
50,1,smooth,smooth
51,1,rough,rough
52,1,smooth,smooth
53,1,smooth,rough
54,1,smooth,smooth
55,1,rough,rough
56,1,smooth,smooth
57,1,smooth,smooth
58,1,rough,rough
59,1,rough,smooth
60,1,smooth,smooth
61,1,smooth,smooth
62,1,smooth,smooth
63,1,smooth,smooth
64,1,smooth,smooth
65,1,smooth,smooth
66,1,smooth,smooth
67,1,smooth,smooth
68,1,smooth,smooth
69,1,rough,smooth
70,1,smooth,smooth
71,1,smooth,smooth
72,1,smooth,smooth
73,1,rough,smooth
74,1,rough,rough
75,1,smooth,smooth
76,1,rough,rough
77,1,rough,smooth
78,1,smooth,smooth
79,1,smooth,smooth
80,1,smooth,smooth
81,1,smooth,smooth
82,1,smooth,rough
83,1,smooth,rough
84,1,rough,smooth
85,1,rough,rough
86,1,smooth,smooth
87,1,smooth,smooth
88,1,smooth,smooth
89,1,rough,smooth
90,1,rough,rough
91,1,rough,rough
92,1,smooth,rough
93,1,smooth,rough
94,1,rough,rough
95,1,rough,rough
96,1,smooth,smooth
97,1,rough,smooth
98,1,smooth,smooth
99,1,rough,rough
100,1,smooth,smooth
101,1,smooth,smooth
102,1,rough,smooth
103,1,rough,smooth
104,1,rough,smooth
105,1,smooth,rough
106,1,smooth,smooth
107,1,smooth,smooth
108,1,smooth,rough
109,1,rough,rough
110,1,smooth,rough
111,1,smooth,rough
112,1,rough,rough
113,1,rough,rough
114,1,smooth,smooth
115,1,smooth,rough
116,1,smooth,smooth
117,1,rough,smooth
118,1,smooth,smooth
119,1,smooth,smooth
120,1,rough,rough
121,1,rough,rough
122,1,smooth,smooth
123,1,smooth,rough
124,1,smooth,rough
125,1,smooth,smooth
126,1,rough,rough
127,1,rough,rough
128,1,smooth,smooth
129,1,smooth,smooth
130,1,smooth,smooth
131,1,smooth,smooth
132,1,smooth,smooth
133,1,rough,rough
134,1,smooth,smooth
135,1,smooth,smooth
136,1,smooth,smooth
137,1,rough,rough
138,1,smooth,smooth
139,1,smooth,smooth
140,1,smooth,smooth
141,1,rough,rough
142,1,smooth,rough
143,1,smooth,smooth
144,1,smooth,smooth
145,1,smooth,smooth
146,1,smooth,smooth
147,1,smooth,smooth
148,1,rough,smooth
149,1,smooth,smooth
150,1,smooth,rough
151,1,rough,rough
152,1,smooth,smooth
153,1,rough,rough
154,1,smooth,smooth
155,1,rough,smooth
156,1,smooth,smooth
157,1,smooth,smooth
158,1,smooth,smooth
159,1,rough,smooth
160,1,rough,rough
161,1,smooth,smooth
162,1,rough,rough
163,2,smooth,smooth
164,2,rough,rough
165,2,rough,rough
166,2,smooth,smooth
167,2,rough,rough
168,2,smooth,smooth
169,2,smooth,smooth
170,2,rough,smooth
171,2,rough,rough
172,2,smooth,smooth
173,2,smooth,smooth
174,2,rough,rough
175,2,smooth,smooth
176,2,smooth,smooth
177,2,rough,smooth
178,2,smooth,smooth
179,2,smooth,smooth
180,2,smooth,smooth
181,2,rough,rough
182,2,rough,smooth
183,2,smooth,smooth
184,2,rough,smooth
185,2,smooth,smooth
186,2,smooth,smooth
187,2,smooth,smooth
188,2,smooth,smooth
189,2,rough,smooth
190,2,rough,rough
191,2,rough,rough
192,2,smooth,smooth
193,2,smooth,smooth
194,2,smooth,smooth
195,2,smooth,smooth
196,2,smooth,smooth
197,2,rough,rough
198,2,rough,smooth
199,2,smooth,rough
200,2,rough,rough
201,2,rough,rough
202,2,rough,rough
203,2,smooth,smooth
204,2,smooth,smooth
205,2,smooth,smooth
206,2,smooth,rough
207,2,smooth,smooth
208,2,rough,rough
209,2,rough,rough
210,2,smooth,rough
211,2,smooth,smooth
212,2,smooth,smooth
213,2,smooth,smooth
214,2,rough,rough
215,2,rough,smooth
216,2,smooth,rough
217,2,smooth,smooth
218,2,smooth,rough
219,2,rough,rough
220,2,rough,smooth
221,2,smooth,smooth
222,2,rough,rough
223,2,smooth,rough
224,2,smooth,smooth
225,2,smooth,smooth
226,2,rough,smooth
227,2,smooth,smooth
228,2,smooth,smooth
229,2,rough,rough
230,2,smooth,smooth
231,2,smooth,smooth
232,2,smooth,smooth
233,2,rough,smooth
234,2,smooth,smooth
235,2,smooth,smooth
236,2,smooth,smooth
237,2,smooth,smooth
238,2,rough,smooth
239,2,smooth,smooth
240,2,rough,smooth
241,2,smooth,rough
242,2,smooth,smooth
243,2,smooth,rough
244,2,smooth,smooth
245,2,rough,smooth
246,2,rough,rough
247,2,smooth,smooth
248,2,smooth,smooth
249,2,smooth,smooth
250,2,smooth,smooth
251,2,smooth,smooth
252,2,rough,rough
253,2,smooth,smooth
254,2,smooth,smooth
255,2,smooth,smooth
256,2,rough,rough
257,2,smooth,smooth
258,2,smooth,smooth
259,2,smooth,rough
260,2,smooth,smooth
261,2,rough,smooth
262,2,smooth,smooth
263,2,rough,rough
264,2,smooth,smooth
265,2,smooth,smooth
266,2,smooth,smooth
267,2,rough,smooth
268,2,smooth,rough
269,2,smooth,smooth
270,2,smooth,smooth
271,2,rough,rough
272,2,rough,smooth
273,2,rough,rough
274,2,rough,smooth
275,2,rough,smooth
276,2,rough,rough
277,2,rough,smooth
278,2,rough,rough
279,2,smooth,rough
280,2,smooth,smooth
281,2,smooth,smooth
282,2,rough,smooth
283,2,rough,rough
284,2,rough,smooth
285,2,rough,smooth
286,2,rough,rough
287,2,smooth,rough
288,2,smooth,smooth
289,2,rough,smooth
290,2,smooth,smooth
291,2,rough,rough
292,2,smooth,smooth
293,2,smooth,smooth
294,2,smooth,smooth
295,2,rough,smooth
296,2,smooth,smooth
297,2,smooth,smooth
298,2,smooth,rough
299,2,rough,smooth
300,2,smooth,smooth
301,2,rough,rough
302,2,smooth,smooth
303,2,rough,smooth
304,2,rough,smooth
305,2,rough,smooth
306,2,smooth,smooth
307,2,smooth,rough
308,2,smooth,smooth
309,2,rough,smooth
310,2,rough,smooth
311,2,rough,rough
312,2,rough,rough
313,2,rough,rough
314,2,smooth,smooth
315,2,smooth,smooth
316,2,smooth,smooth
317,2,smooth,smooth
318,2,smooth,smooth
319,2,rough,rough
320,2,smooth,smooth
321,2,smooth,smooth
322,2,smooth,smooth
323,2,smooth,rough
324,2,rough,rough
325,2,smooth,rough
326,3,smooth,smooth
327,3,rough,rough
328,3,smooth,smooth
329,3,smooth,smooth
330,3,rough,smooth
331,3,smooth,smooth
332,3,rough,rough
333,3,rough,rough
334,3,smooth,rough
335,3,smooth,smooth
336,3,smooth,smooth
337,3,rough,rough
338,3,rough,smooth
339,3,smooth,rough
340,3,smooth,smooth
341,3,rough,rough
342,3,rough,rough
343,3,rough,rough
344,3,smooth,smooth
345,3,rough,smooth
346,3,smooth,smooth
347,3,rough,smooth
348,3,rough,smooth
349,3,smooth,smooth
350,3,rough,smooth
351,3,smooth,smooth
352,3,rough,rough
353,3,smooth,smooth
354,3,rough,rough
355,3,smooth,smooth
356,3,smooth,rough
357,3,smooth,smooth
358,3,smooth,rough
359,3,rough,smooth
360,3,smooth,rough
361,3,smooth,smooth
362,3,smooth,smooth
363,3,rough,rough
364,3,rough,rough
365,3,smooth,smooth
366,3,rough,rough
367,3,smooth,smooth
368,3,smooth,smooth
369,3,rough,rough
370,3,rough,rough
371,3,smooth,rough
372,3,smooth,rough
373,3,rough,smooth
374,3,smooth,smooth
375,3,smooth,rough
376,3,smooth,smooth
377,3,rough,smooth
