,run_no,predict,valid
0,1,smooth,rough
1,1,smooth,rough
2,1,rough,rough
3,1,smooth,smooth
4,1,rough,rough
5,1,rough,rough
6,1,smooth,rough
7,1,smooth,smooth
8,1,rough,rough
9,1,smooth,rough
10,1,smooth,smooth
11,1,smooth,smooth
12,1,rough,smooth
13,1,smooth,rough
14,1,rough,rough
15,1,smooth,smooth
16,1,smooth,smooth
17,1,rough,smooth
18,1,rough,rough
19,1,rough,rough
20,1,water,smooth
21,1,smooth,rough
22,1,rough,rough
23,1,smooth,water
24,1,smooth,smooth
25,1,rough,rough
26,1,smooth,smooth
27,1,smooth,rough
28,1,smooth,rough
29,1,rough,rough
30,1,smooth,rough
31,1,rough,rough
32,1,water,smooth
33,1,smooth,rough
34,1,rough,smooth
35,1,rough,smooth
36,1,smooth,smooth
37,1,rough,smooth
38,1,smooth,smooth
39,1,rough,water
40,1,smooth,smooth
41,1,smooth,smooth
42,1,smooth,smooth
43,1,smooth,smooth
44,1,smooth,smooth
45,1,smooth,smooth
46,1,smooth,smooth
47,1,smooth,rough
48,1,rough,rough
49,1,smooth,smooth
50,1,rough,rough
51,1,smooth,smooth
52,1,rough,smooth
53,1,smooth,smooth
54,1,smooth,water
55,1,rough,rough
56,1,rough,rough
57,1,smooth,smooth
58,1,rough,rough
59,1,rough,smooth
60,1,smooth,smooth
61,1,rough,smooth
62,1,smooth,smooth
63,1,smooth,smooth
64,1,rough,smooth
65,1,smooth,smooth
66,1,smooth,smooth
67,1,smooth,water
68,1,rough,rough
69,1,smooth,water
70,1,smooth,smooth
71,1,rough,rough
72,1,smooth,rough
73,1,smooth,smooth
74,1,smooth,rough
75,1,rough,rough
76,1,rough,rough
77,1,rough,rough
78,1,smooth,water
79,1,smooth,rough
80,1,smooth,smooth
81,1,smooth,smooth
82,1,smooth,smooth
83,1,rough,rough
84,1,smooth,smooth
85,1,smooth,smooth
86,1,smooth,smooth
87,1,smooth,smooth
88,1,rough,water
89,1,rough,rough
90,1,smooth,smooth
91,1,rough,rough
92,1,rough,rough
93,1,smooth,rough
94,1,smooth,water
95,1,smooth,smooth
96,1,water,smooth
97,1,rough,rough
98,1,rough,smooth
99,1,smooth,smooth
100,1,rough,smooth
101,1,rough,rough
102,1,rough,rough
103,1,rough,rough
104,1,smooth,water
105,1,rough,rough
106,1,smooth,rough
107,1,rough,rough
108,1,smooth,water
109,1,rough,rough
110,1,rough,smooth
111,1,smooth,water
112,1,rough,smooth
113,1,smooth,smooth
114,1,smooth,smooth
115,1,rough,smooth
116,1,smooth,rough
117,1,smooth,rough
118,1,smooth,rough
119,1,rough,water
120,1,smooth,smooth
121,1,smooth,rough
122,1,smooth,smooth
123,1,water,smooth
124,1,smooth,rough
125,1,smooth,smooth
126,1,rough,smooth
127,1,smooth,smooth
128,1,smooth,smooth
129,1,smooth,smooth
130,1,smooth,rough
131,1,rough,smooth
132,1,rough,rough
133,1,smooth,smooth
134,1,rough,smooth
135,1,rough,smooth
136,1,smooth,smooth
137,1,smooth,smooth
138,1,rough,rough
139,1,smooth,rough
140,1,smooth,smooth
141,1,rough,rough
142,1,rough,rough
143,1,smooth,smooth
144,1,smooth,smooth
145,1,smooth,smooth
146,1,smooth,smooth
147,1,rough,water
148,1,smooth,smooth
149,1,rough,rough
150,1,rough,rough
151,1,smooth,rough
152,1,smooth,water
153,1,rough,rough
154,1,rough,rough
155,1,smooth,smooth
156,1,rough,rough
157,1,smooth,smooth
158,1,smooth,smooth
159,1,rough,rough
160,1,smooth,smooth
161,1,smooth,smooth
162,1,rough,smooth
163,1,smooth,smooth
164,1,smooth,smooth
165,1,rough,rough
166,1,smooth,smooth
167,1,rough,water
168,1,rough,rough
169,1,rough,smooth
170,1,rough,smooth
171,1,smooth,smooth
172,1,rough,rough
173,1,rough,rough
174,1,rough,rough
175,1,smooth,smooth
176,1,smooth,rough
177,2,rough,rough
178,2,rough,rough
179,2,smooth,rough
180,2,rough,rough
181,2,rough,rough
182,2,rough,smooth
183,2,smooth,rough
184,2,smooth,smooth
185,2,smooth,rough
186,2,smooth,smooth
187,2,rough,rough
188,2,smooth,smooth
189,2,smooth,rough
190,2,rough,water
191,2,smooth,smooth
192,2,smooth,smooth
193,2,rough,smooth
194,2,smooth,water
195,2,smooth,rough
196,2,smooth,smooth
197,2,rough,smooth
198,2,smooth,water
199,2,smooth,smooth
200,2,smooth,smooth
201,2,smooth,smooth
202,2,rough,smooth
203,2,smooth,smooth
204,2,rough,rough
205,2,smooth,water
206,2,smooth,smooth
207,2,rough,rough
208,2,smooth,smooth
209,2,smooth,rough
210,2,smooth,smooth
211,2,rough,rough
212,2,rough,smooth
213,2,smooth,smooth
214,2,smooth,smooth
215,2,smooth,smooth
216,2,rough,water
217,2,smooth,rough
218,2,smooth,smooth
219,2,rough,rough
220,2,smooth,smooth
221,2,smooth,smooth
222,2,rough,rough
223,2,smooth,rough
224,2,smooth,smooth
225,2,rough,rough
226,2,rough,rough
227,2,smooth,smooth
228,2,smooth,smooth
229,2,rough,rough
230,2,smooth,smooth
231,2,smooth,smooth
232,2,smooth,smooth
233,2,rough,smooth
234,2,smooth,smooth
235,2,smooth,smooth
236,2,rough,rough
237,2,rough,rough
238,2,rough,smooth
239,2,smooth,rough
240,2,rough,rough
241,2,smooth,smooth
242,2,smooth,smooth
243,2,rough,rough
244,2,smooth,smooth
245,2,rough,smooth
246,2,smooth,rough
247,2,smooth,smooth
248,2,smooth,rough
249,2,rough,rough
250,2,rough,smooth
251,2,smooth,smooth
252,2,smooth,water
253,2,rough,smooth
254,2,smooth,smooth
255,2,rough,rough
256,2,smooth,smooth
257,2,smooth,smooth
258,2,rough,rough
259,2,smooth,water
260,2,smooth,rough
261,2,smooth,rough
262,2,smooth,smooth
263,2,smooth,smooth
264,2,rough,smooth
265,2,smooth,rough
266,2,smooth,smooth
267,2,smooth,smooth
268,2,smooth,rough
269,2,rough,smooth
270,2,smooth,smooth
271,2,smooth,water
272,2,smooth,smooth
273,2,rough,rough
274,2,rough,smooth
275,2,rough,rough
276,2,smooth,smooth
277,2,smooth,water
278,2,rough,rough
279,2,smooth,smooth
280,2,smooth,rough
281,2,rough,rough
282,2,smooth,smooth
283,2,rough,rough
284,2,smooth,smooth
285,2,smooth,smooth
286,2,smooth,smooth
287,2,smooth,smooth
288,2,rough,smooth
289,2,smooth,water
290,2,rough,smooth
291,2,rough,smooth
292,2,rough,smooth
293,2,smooth,smooth
294,2,smooth,smooth
295,2,smooth,smooth
296,2,rough,rough
297,2,smooth,smooth
298,2,smooth,smooth
299,2,smooth,smooth
300,2,smooth,water
301,2,smooth,rough
302,2,smooth,smooth
303,2,smooth,smooth
304,2,smooth,rough
305,2,smooth,water
306,2,rough,rough
307,2,smooth,rough
308,2,smooth,smooth
309,2,smooth,smooth
310,2,smooth,smooth
311,2,smooth,smooth
312,2,rough,smooth
313,2,smooth,smooth
314,2,smooth,smooth
315,2,smooth,smooth
316,2,rough,rough
317,2,smooth,rough
318,2,smooth,smooth
319,2,rough,smooth
320,2,rough,rough
321,2,smooth,smooth
322,2,smooth,water
323,2,smooth,smooth
324,2,smooth,smooth
325,2,smooth,rough
326,2,smooth,smooth
327,2,smooth,smooth
328,2,rough,rough
329,2,smooth,rough
330,2,rough,rough
331,2,rough,rough
332,2,smooth,smooth
333,2,smooth,smooth
334,2,smooth,rough
335,2,rough,rough
336,2,smooth,smooth
337,2,smooth,rough
338,2,rough,smooth
339,2,smooth,smooth
340,2,rough,rough
341,2,smooth,smooth
342,2,rough,rough
343,2,smooth,water
344,2,smooth,rough
345,2,rough,rough
346,2,smooth,smooth
347,2,smooth,smooth
348,2,rough,smooth
349,2,smooth,rough
350,2,smooth,rough
351,2,smooth,smooth
352,2,smooth,smooth
353,2,smooth,smooth
354,3,smooth,smooth
355,3,rough,rough
356,3,smooth,smooth
357,3,smooth,rough
358,3,rough,smooth
359,3,smooth,smooth
360,3,rough,rough
361,3,smooth,smooth
362,3,rough,water
363,3,smooth,smooth
364,3,rough,rough
365,3,smooth,smooth
366,3,smooth,water
367,3,rough,smooth
368,3,rough,rough
369,3,smooth,rough
370,3,smooth,smooth
371,3,smooth,smooth
372,3,smooth,smooth
373,3,rough,rough
374,3,smooth,rough
375,3,rough,rough
376,3,rough,smooth
